Age by Educational Attainment,Pennsylvania Population,Pennsylvania Population %,Male Population,Male Population %,Female Population,Female Population %,Philadelphia Total Population,Philadelphia Pop %,Philadelphia Male Population,Philadelphia Male %,Philadelphia Female Population,Philadelphia Female %
        High school graduate or higher,"10,861",78.5%,"5,293",77.6%,"5,568",79.3%,"2,592",75.8%,"1,296",85.1%,"1,296",68.4%
        Bachelor's degree or higher,"2,767",20.0%,"1,222",17.9%,"1,545",22.0%,688,20.1%,410,26.9%,278,14.7%
    Asian alone,"303,079",(X),"143,617",(X),"159,462",(X),"81,045",(X),"37,737",(X),"43,308",(X)
        High school graduate or higher,"253,502",83.6%,"123,097",85.7%,"130,405",81.8%,"58,511",72.2%,"28,257",74.9%,"30,254",69.9%
        Bachelor's degree or higher,"170,775",56.3%,"85,848",59.8%,"84,927",53.3%,"31,895",39.4%,"15,448",40.9%,"16,447",38.0%
    Native Hawaiian and Other Pacific Islander alone,"2,808",(X),"1,042",(X),"1,766",(X),460,(X),114,(X),346,(X)
        High school graduate or higher,"2,296",81.8%,800,76.8%,"1,496",84.7%,348,75.7%,92,80.7%,256,74.0%
        Bachelor's degree or higher,673,24.0%,305,29.3%,368,20.8%,161,35.0%,48,42.1%,113,32.7%
    Some other race alone,"186,471",(X),"92,698",(X),"93,773",(X),"67,248",(X),"31,308",(X),"35,940",(X)
        High school graduate or higher,"125,370",67.2%,"60,039",64.8%,"65,331",69.7%,"42,727",63.5%,"19,659",62.8%,"23,068",64.2%
        Bachelor's degree or higher,"26,235",14.1%,"12,618",13.6%,"13,617",14.5%,"6,141",9.1%,"3,027",9.7%,"3,114",8.7%
    Two or more races,"185,841",(X),"90,254",(X),"95,587",(X),"33,543",(X),"15,306",(X),"18,237",(X)
        High school graduate or higher,"165,974",89.3%,"79,644",88.2%,"86,330",90.3%,"30,155",89.9%,"13,204",86.3%,"16,951",92.9%
        Bachelor's degree or higher,"59,313",31.9%,"26,121",28.9%,"33,192",34.7%,"12,881",38.4%,"5,116",33.4%,"7,765",42.6%
    Hispanic or Latino Origin,"521,436",(X),"262,816",(X),"258,620",(X),"132,159",(X),"63,689",(X),"68,470",(X)
        High school graduate or higher,"383,335",73.5%,"187,870",71.5%,"195,465",75.6%,"92,884",70.3%,"43,675",68.6%,"49,209",71.9%
        Bachelor's degree or higher,"94,842",18.2%,"42,846",16.3%,"51,996",20.1%,"22,842",17.3%,"10,388",16.3%,"12,454",18.2%
    Less than high school graduate,(X),24.1%,(X),20.7%,(X),27.5%,(X),35.7%,(X),31.2%,(X),39.6%
    High school graduate (includes equivalency),(X),12.0%,(X),9.9%,(X),13.9%,(X),23.8%,(X),20.9%,(X),26.5%
    Some college or associate's degree,(X),8.9%,(X),6.7%,(X),10.7%,(X),17.0%,(X),13.5%,(X),19.7%
    Bachelor's degree or higher,(X),3.9%,(X),3.4%,(X),4.3%,(X),8.2%,(X),7.9%,(X),8.5%
    Population 25 years and over with earnings,"42,786",(X),"50,919",(X),"35,584",(X),"38,898",(X),"41,947",(X),"36,303",(X)
        Less than high school graduate,"26,296",(X),"31,719",(X),"19,245",(X),"24,277",(X),"27,136",(X),"21,152",(X)
        High school graduate (includes equivalency),"32,856",(X),"40,986",(X),"25,929",(X),"28,209",(X),"31,387",(X),"25,838",(X)
        Some college or associate's degree,"39,034",(X),"47,558",(X),"32,077",(X),"34,556",(X),"38,525",(X),"31,854",(X)
        Bachelor's degree,"55,309",(X),"67,007",(X),"46,940",(X),"52,020",(X),"57,909",(X),"48,046",(X)
        Graduate or professional degree,"73,943",(X),"90,404",(X),"64,094",(X),"66,531",(X),"73,765",(X),"63,084",(X)
