Housing Occupancy Status,Philadelphia Total Housing Units,Philadelphia % Housing Units
"        $1,000 or more","8,297",6.4%
        Median (dollars),466,(X)
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"192,183","192,183"
        Less than 20.0 percent,"86,937",45.2%
        20.0 to 24.9 percent,"25,110",13.1%
        25.0 to 29.9 percent,"17,428",9.1%
        30.0 to 34.9 percent,"12,429",6.5%
        35.0 percent or more,"50,279",26.2%
        Not computed,"2,420",(X)
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"125,583","125,583"
        Less than 10.0 percent,"48,013",38.2%
        10.0 to 14.9 percent,"22,213",17.7%
        15.0 to 19.9 percent,"14,549",11.6%
        20.0 to 24.9 percent,"10,850",8.6%
        25.0 to 29.9 percent,"7,157",5.7%
        30.0 to 34.9 percent,"4,834",3.8%
        35.0 percent or more,"17,967",14.3%
        Not computed,"3,598",(X)
    Occupied units paying rent,"277,864","277,864"
        Less than $500,"27,524",9.9%
        $500 to $999,"91,436",32.9%
"        $1,000 to $1,499","101,290",36.5%
"        $1,500 to $1,999","35,700",12.8%
"        $2,000 to $2,499","13,368",4.8%
"        $2,500 to $2,999","4,544",1.6%
"        $3,000 or more","4,002",1.4%
        Median (dollars),"1,084",(X)
        No rent paid,"11,477",(X)
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"266,770","266,770"
        Less than 15.0 percent,"32,241",12.1%
        15.0 to 19.9 percent,"34,411",12.9%
        20.0 to 24.9 percent,"31,017",11.6%
        25.0 to 29.9 percent,"29,820",11.2%
        30.0 to 34.9 percent,"22,907",8.6%
        35.0 percent or more,"116,374",43.6%
        Not computed,"22,571",(X)
