"Label (Grouping)","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Below poverty level!!Estimate","Illinois!!Below poverty level!!Margin of Error","Illinois!!Percent below poverty level!!Estimate","Illinois!!Percent below poverty level!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Below poverty level!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Below poverty level!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent below poverty level!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent below poverty level!!Margin of Error"
"            High school graduate (includes equivalency)","2,161,126","±13,263","278,643","±4,740","12.9%","±0.2","1,491,972","±11,150","186,178","±4,465","12.5%","±0.3"
"            Some college, associate's degree","2,449,494","±11,304","229,946","±4,085","9.4%","±0.2","1,701,701","±10,574","158,505","±3,126","9.3%","±0.2"
"            Bachelor's degree or higher","3,070,808","±15,422","130,117","±3,447","4.2%","±0.1","2,511,882","±12,868","107,997","±3,096","4.3%","±0.1"
"    EMPLOYMENT STATUS","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","6,595,833","±10,922","454,789","±6,271","6.9%","±0.1","5,031,646","±9,830","312,121","±5,126","6.2%","±0.1"
"            Employed","6,204,343","±11,801","338,394","±4,721","5.5%","±0.1","4,722,000","±10,462","227,001","±3,662","4.8%","±0.1"
"                Male","3,236,787","±7,090","140,070","±2,923","4.3%","±0.1","2,476,620","±6,524","95,710","±2,738","3.9%","±0.1"
"                Female","2,967,556","±8,149","198,324","±3,658","6.7%","±0.1","2,245,380","±7,433","131,291","±2,885","5.8%","±0.1"
"            Unemployed","391,490","±5,914","116,395","±3,519","29.7%","±0.7","309,646","±4,981","85,120","±2,847","27.5%","±0.8"
"                Male","209,623","±4,150","55,965","±2,232","26.7%","±0.8","163,789","±4,065","39,521","±1,861","24.1%","±0.9"
"                Female","181,867","±3,453","60,430","±2,541","33.2%","±1.1","145,857","±2,954","45,599","±1,900","31.3%","±1.2"
"    WORK EXPERIENCE","","","","","","","","","","","",""
"        Population 16 years and over","9,934,739","±2,834","1,080,551","±11,215","10.9%","±0.1","7,437,200","±2,807","756,040","±9,546","10.2%","±0.1"
"            Worked full-time, year-round in the past 12 months","4,468,288","±11,749","98,950","±2,867","2.2%","±0.1","3,422,954","±10,010","67,626","±2,572","2.0%","±0.1"
"            Worked part-time or part-year in the past 12 months","2,316,824","±10,128","338,709","±4,835","14.6%","±0.2","1,726,147","±8,918","225,410","±3,455","13.1%","±0.2"
"            Did not work","3,149,627","±11,177","642,892","±8,406","20.4%","±0.2","2,288,099","±9,896","463,004","±6,962","20.2%","±0.3"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","",""
"        50 percent of poverty level","688,742","±10,781","(X)","(X)","(X)","(X)","484,744","±8,764","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,948,609","±19,098","(X)","(X)","(X)","(X)","1,381,388","±15,802","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,407,940","±20,463","(X)","(X)","(X)","(X)","1,705,541","±17,747","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","3,095,502","±24,225","(X)","(X)","(X)","(X)","2,203,179","±20,573","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,394,289","±25,756","(X)","(X)","(X)","(X)","2,414,849","±22,633","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","5,299,540","±30,409","(X)","(X)","(X)","(X)","3,773,013","±26,009","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,973,728","±26,091","(X)","(X)","(X)","(X)","4,990,310","±22,496","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","8,358,231","±24,690","(X)","(X)","(X)","(X)","6,024,003","±21,139","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","2,447,321","±12,254","561,936","±5,894","23.0%","±0.2","1,757,311","±12,032","370,721","±4,990","21.1%","±0.3"
"    Male","1,188,092","±9,153","247,822","±4,052","20.9%","±0.3","849,153","±8,643","158,523","±3,250","18.7%","±0.3"
"    Female","1,259,229","±7,684","314,114","±4,516","24.9%","±0.3","908,158","±6,633","212,198","±3,484","23.4%","±0.4"
"    15 years","3,230","±517","3,205","±522","99.2%","±1.3","2,075","±429","2,075","±429","100.0%","±1.7"
"    16 to 17 years","7,014","±705","6,599","±687","94.1%","±2.0","4,385","±575","4,146","±545","94.5%","±2.4"
"    18 to 24 years","255,268","±3,974","124,480","±3,040","48.8%","±0.9","149,677","±3,279","66,045","±2,241","44.1%","±1.1"
"    25 to 34 years","541,550","±6,137","89,054","±2,425","16.4%","±0.4","428,024","±5,753","62,669","±2,155","14.6%","±0.5"
"    35 to 44 years","295,389","±5,029","55,890","±2,142","18.9%","±0.6","227,347","±4,212","38,131","±1,678","16.8%","±0.7"
"    45 to 54 years","309,239","±4,333","69,600","±2,248","22.5%","±0.7","229,542","±3,646","47,488","±2,011","20.7%","±0.8"
"    55 to 64 years","387,568","±4,637","101,214","±2,353","26.1%","±0.6","272,770","±4,030","69,838","±2,202","25.6%","±0.8"
"    65 to 74 years","322,653","±4,168","57,746","±1,936","17.9%","±0.5","226,597","±3,707","42,020","±1,721","18.5%","±0.7"
"    75 years and over","325,410","±3,808","54,148","±1,929","16.6%","±0.5","216,894","±2,958","38,309","±1,572","17.7%","±0.7"
"    Mean income deficit for unrelated individuals (dollars)","7,629","±51","(X)","(X)","(X)","(X)","7,694","±60","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","1,097,738","±10,075","33,119","±1,833","3.0%","±0.2","846,108","±9,094","21,565","±1,464","2.5%","±0.2"
"    Worked less than full-time, year-round in the past 12 months","504,842","±6,090","178,766","±3,773","35.4%","±0.6","347,690","±4,943","112,096","±2,320","32.2%","±0.6"
"    Did not work","844,741","±7,044","350,051","±5,304","41.4%","±0.5","563,513","±5,564","237,060","±4,073","42.1%","±0.6"
