"Label (Grouping)","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Percent!!Estimate","Illinois!!Percent!!Margin of Error","Illinois!!Male!!Estimate","Illinois!!Male!!Margin of Error","Illinois!!Percent Male!!Estimate","Illinois!!Percent Male!!Margin of Error","Illinois!!Female!!Estimate","Illinois!!Female!!Margin of Error","Illinois!!Percent Female!!Estimate","Illinois!!Percent Female!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Total!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Male!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Male!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Male!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Male!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Female!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Female!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Female!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Female!!Margin of Error"
"        High school graduate or higher","1,479,042","±3,592","90.3%","±0.2","729,340","±2,438","89.1%","±0.3","749,702","±2,229","91.4%","±0.3","1,131,347","±3,255","89.7%","±0.3","554,402","±2,226","88.6%","±0.3","576,945","±2,074","90.9%","±0.3"
"        Bachelor's degree or higher","670,731","±5,983","40.9%","±0.4","304,076","±3,631","37.1%","±0.4","366,655","±3,597","44.7%","±0.4","554,485","±4,719","44.0%","±0.4","253,168","±3,215","40.5%","±0.5","301,317","±2,915","47.5%","±0.5"
"    Population 45 to 64 years","3,293,745","±1,186","(X)","(X)","1,612,700","±990","(X)","(X)","1,681,045","±673","(X)","(X)","2,453,425","±637","(X)","(X)","1,194,726","±477","(X)","(X)","1,258,699","±364","(X)","(X)"
"        High school graduate or higher","2,954,060","±4,671","89.7%","±0.1","1,430,647","±2,918","88.7%","±0.2","1,523,413","±3,062","90.6%","±0.2","2,181,851","±3,783","88.9%","±0.2","1,051,825","±2,565","88.0%","±0.2","1,130,026","±2,661","89.8%","±0.2"
"        Bachelor's degree or higher","1,114,169","±7,369","33.8%","±0.2","526,864","±4,422","32.7%","±0.3","587,305","±4,753","34.9%","±0.3","911,199","±6,509","37.1%","±0.3","433,583","±3,702","36.3%","±0.3","477,616","±4,716","37.9%","±0.4"
"    Population 65 years and over","1,990,426","±770","(X)","(X)","868,794","±533","(X)","(X)","1,121,632","±553","(X)","(X)","1,383,267","±431","(X)","(X)","599,231","±312","(X)","(X)","784,036","±248","(X)","(X)"
"        High school graduate or higher","1,713,002","±3,896","86.1%","±0.2","749,822","±2,227","86.3%","±0.2","963,180","±2,703","85.9%","±0.2","1,173,569","±3,632","84.8%","±0.3","510,177","±2,316","85.1%","±0.4","663,392","±2,222","84.6%","±0.3"
"        Bachelor's degree or higher","545,913","±4,952","27.4%","±0.2","274,906","±3,217","31.6%","±0.4","271,007","±3,038","24.2%","±0.3","418,220","±3,656","30.2%","±0.3","208,579","±2,598","34.8%","±0.4","209,641","±2,559","26.7%","±0.3"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","6,302,761","±6,884","(X)","(X)","3,065,329","±3,915","(X)","(X)","3,237,432","±3,772","(X)","(X)","4,287,906","±6,479","(X)","(X)","2,090,400","±3,574","(X)","(X)","2,197,506","±3,745","(X)","(X)"
"        High school graduate or higher","5,807,257","±7,175","92.1%","±0.1","2,806,119","±4,517","91.5%","±0.1","3,001,138","±4,213","92.7%","±0.1","3,950,540","±6,337","92.1%","±0.1","1,916,010","±3,941","91.7%","±0.1","2,034,530","±3,885","92.6%","±0.1"
"        Bachelor's degree or higher","2,352,264","±12,251","37.3%","±0.2","1,124,990","±7,145","36.7%","±0.2","1,227,274","±7,610","37.9%","±0.2","1,840,599","±10,174","42.9%","±0.2","889,858","±6,140","42.6%","±0.3","950,741","±6,659","43.3%","±0.3"
"    White alone, not Hispanic or Latino","5,664,103","±1,597","(X)","(X)","2,740,079","±896","(X)","(X)","2,924,024","±1,063","(X)","(X)","3,683,513","±1,721","(X)","(X)","1,784,516","±1,174","(X)","(X)","1,898,997","±962","(X)","(X)"
"        High school graduate or higher","5,349,154","±4,726","94.4%","±0.1","2,578,668","±3,124","94.1%","±0.1","2,770,486","±3,112","94.7%","±0.1","3,514,665","±3,701","95.4%","±0.1","1,700,220","±2,671","95.3%","±0.1","1,814,445","±2,395","95.5%","±0.1"
"        Bachelor's degree or higher","2,237,766","±11,575","39.5%","±0.2","1,073,354","±6,822","39.2%","±0.2","1,164,412","±6,997","39.8%","±0.2","1,730,980","±9,516","47.0%","±0.3","840,719","±5,825","47.1%","±0.3","890,261","±6,193","46.9%","±0.3"
"    Black alone","1,164,381","±2,726","(X)","(X)","524,074","±1,782","(X)","(X)","640,307","±1,877","(X)","(X)","1,026,518","±2,356","(X)","(X)","448,799","±1,373","(X)","(X)","577,719","±1,768","(X)","(X)"
"        High school graduate or higher","1,015,765","±3,735","87.2%","±0.2","449,085","±2,361","85.7%","±0.3","566,680","±2,878","88.5%","±0.3","907,143","±3,387","88.4%","±0.2","391,560","±2,101","87.2%","±0.3","515,583","±2,567","89.2%","±0.3"
"        Bachelor's degree or higher","264,807","±4,294","22.7%","±0.4","104,334","±2,576","19.9%","±0.5","160,473","±3,134","25.1%","±0.5","246,170","±4,039","24.0%","±0.4","95,078","±2,272","21.2%","±0.5","151,092","±3,127","26.2%","±0.5"
"    American Indian or Alaska Native alone","22,107","±1,425","(X)","(X)","11,556","±849","(X)","(X)","10,551","±797","(X)","(X)","18,451","±1,364","(X)","(X)","9,241","±788","(X)","(X)","9,210","±767","(X)","(X)"
"        High school graduate or higher","16,482","±992","74.6%","±2.5","8,538","±625","73.9%","±2.9","7,944","±609","75.3%","±2.9","13,617","±926","73.8%","±2.9","6,747","±587","73.0%","±3.7","6,870","±557","74.6%","±3.1"
"        Bachelor's degree or higher","4,781","±656","21.6%","±2.5","2,292","±429","19.8%","±3.2","2,489","±425","23.6%","±3.5","4,301","±712","23.3%","±3.2","2,079","±447","22.5%","±4.2","2,222","±446","24.1%","±4.0"
"    Asian alone","500,581","±2,260","(X)","(X)","235,917","±1,384","(X)","(X)","264,664","±1,319","(X)","(X)","461,427","±2,165","(X)","(X)","217,387","±1,258","(X)","(X)","244,040","±1,331","(X)","(X)"
"        High school graduate or higher","454,539","±2,986","90.8%","±0.4","218,955","±1,588","92.8%","±0.4","235,584","±1,947","89.0%","±0.5","419,758","±2,927","91.0%","±0.4","202,033","±1,464","92.9%","±0.4","217,725","±1,974","89.2%","±0.6"
"        Bachelor's degree or higher","331,904","±3,436","66.3%","±0.6","162,201","±2,131","68.8%","±0.8","169,703","±2,308","64.1%","±0.7","306,511","±3,272","66.4%","±0.6","149,178","±2,023","68.6%","±0.9","157,333","±2,196","64.5%","±0.8"
"    Native Hawaiian and Other Pacific Islander alone","3,448","±427","(X)","(X)","1,788","±254","(X)","(X)","1,660","±252","(X)","(X)","2,543","±371","(X)","(X)","1,375","±227","(X)","(X)","1,168","±218","(X)","(X)"
"        High school graduate or higher","2,994","±398","86.8%","±4.6","1,475","±244","82.5%","±8.4","1,519","±259","91.5%","±4.9","2,225","±345","87.5%","±4.9","1,201","±225","87.3%","±6.9","1,024","±208","87.7%","±6.6"
"        Bachelor's degree or higher","1,055","±230","30.6%","±5.2","468","±148","26.2%","±7.3","587","±176","35.4%","±8.4","854","±233","33.6%","±6.5","392","±138","28.5%","±8.8","462","±175","39.6%","±11.4"
"    Some other race alone","439,540","±6,477","(X)","(X)","226,300","±3,707","(X)","(X)","213,240","±3,470","(X)","(X)","441,918","±6,641","(X)","(X)","226,600","±3,683","(X)","(X)","215,318","±3,695","(X)","(X)"
"        High school graduate or higher","276,315","±4,508","62.9%","±0.6","138,971","±2,867","61.4%","±0.8","137,344","±2,777","64.4%","±0.9","279,055","±4,471","63.1%","±0.6","139,706","±2,684","61.7%","±0.8","139,349","±2,852","64.7%","±0.8"
"        Bachelor's degree or higher","50,656","±2,239","11.5%","±0.5","22,848","±1,278","10.1%","±0.5","27,808","±1,474","13.0%","±0.6","49,855","±2,340","11.3%","±0.5","22,422","±1,320","9.9%","±0.6","27,433","±1,548","12.7%","±0.7"
"    Two or more races","253,882","±6,493","(X)","(X)","127,355","±4,124","(X)","(X)","126,527","±3,085","(X)","(X)","223,704","±6,119","(X)","(X)","112,096","±3,964","(X)","(X)","111,608","±2,991","(X)","(X)"
"        High school graduate or higher","215,010","±5,664","84.7%","±0.9","106,338","±3,724","83.5%","±1.3","108,672","±2,841","85.9%","±1.1","188,906","±5,691","84.4%","±1.1","93,321","±3,764","83.3%","±1.5","95,585","±2,928","85.6%","±1.2"
"        Bachelor's degree or higher","79,807","±2,725","31.4%","±0.9","36,148","±1,875","28.4%","±1.2","43,659","±1,848","34.5%","±1.2","72,952","±2,874","32.6%","±1.1","33,053","±1,962","29.5%","±1.4","39,899","±1,925","35.7%","±1.4"
"    Hispanic or Latino Origin","1,233,171","±494","(X)","(X)","632,671","±475","(X)","(X)","600,500","±390","(X)","(X)","1,196,598","±139","(X)","(X)","610,253","±72","(X)","(X)","586,345","±154","(X)","(X)"
"        High school graduate or higher","853,471","±4,297","69.2%","±0.3","428,253","±3,136","67.7%","±0.5","425,218","±2,995","70.8%","±0.5","831,873","±4,230","69.5%","±0.4","416,080","±3,016","68.2%","±0.5","415,793","±2,997","70.9%","±0.5"
"        Bachelor's degree or higher","197,593","±4,120","16.0%","±0.3","88,930","±2,602","14.1%","±0.4","108,663","±2,722","18.1%","±0.5","191,739","±4,169","16.0%","±0.3","85,974","±2,670","14.1%","±0.4","105,765","±2,651","18.0%","±0.5"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","21.8%","±0.4","(X)","(X)","18.4%","±0.5","(X)","(X)","25.2%","±0.6","(X)","(X)","20.3%","±0.4","(X)","(X)","16.7%","±0.5","(X)","(X)","23.8%","±0.7"
"    High school graduate (includes equivalency)","(X)","(X)","12.9%","±0.2","(X)","(X)","10.8%","±0.2","(X)","(X)","15.0%","±0.3","(X)","(X)","12.5%","±0.3","(X)","(X)","10.2%","±0.3","(X)","(X)","14.8%","±0.4"
"    Some college or associate's degree","(X)","(X)","9.4%","±0.2","(X)","(X)","7.1%","±0.2","(X)","(X)","11.4%","±0.2","(X)","(X)","9.3%","±0.2","(X)","(X)","6.9%","±0.2","(X)","(X)","11.4%","±0.3"
"    Bachelor's degree or higher","(X)","(X)","4.2%","±0.1","(X)","(X)","3.8%","±0.1","(X)","(X)","4.6%","±0.2","(X)","(X)","4.3%","±0.1","(X)","(X)","3.8%","±0.2","(X)","(X)","4.7%","±0.2"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","44,669","±164","(X)","(X)","52,774","±194","(X)","(X)","36,910","±187","(X)","(X)","47,386","±202","(X)","(X)","55,121","±367","(X)","(X)","39,509","±302","(X)","(X)"
"        Less than high school graduate","26,397","±252","(X)","(X)","31,029","±288","(X)","(X)","20,883","±331","(X)","(X)","27,123","±245","(X)","(X)","31,748","±271","(X)","(X)","21,518","±362","(X)","(X)"
"        High school graduate (includes equivalency)","32,612","±260","(X)","(X)","40,473","±259","(X)","(X)","25,586","±208","(X)","(X)","33,514","±332","(X)","(X)","40,976","±345","(X)","(X)","26,294","±264","(X)","(X)"
"        Some college or associate's degree","39,189","±236","(X)","(X)","49,490","±388","(X)","(X)","31,500","±171","(X)","(X)","40,422","±198","(X)","(X)","50,835","±396","(X)","(X)","32,378","±239","(X)","(X)"
"        Bachelor's degree","60,045","±329","(X)","(X)","72,973","±652","(X)","(X)","50,532","±283","(X)","(X)","62,350","±351","(X)","(X)","75,754","±497","(X)","(X)","51,941","±332","(X)","(X)"
"        Graduate or professional degree","77,135","±402","(X)","(X)","96,741","±1,032","(X)","(X)","65,714","±526","(X)","(X)","80,717","±458","(X)","(X)","100,833","±719","(X)","(X)","67,981","±916","(X)","(X)"
