"Label (Grouping)","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Male!!Estimate","California!!Male!!Margin of Error","California!!Female!!Estimate","California!!Female!!Margin of Error","Los Angeles city, California!!Total!!Estimate","Los Angeles city, California!!Total!!Margin of Error","Los Angeles city, California!!Male!!Estimate","Los Angeles city, California!!Male!!Margin of Error","Los Angeles city, California!!Female!!Estimate","Los Angeles city, California!!Female!!Margin of Error"
"        8:30 a.m. to 8:59 a.m.","5.9%","±0.1","5.1%","±0.1","7.0%","±0.1","7.1%","±0.2","6.1%","±0.2","8.2%","±0.2"
"        9:00 a.m. to 11:59 p.m.","25.9%","±0.1","24.5%","±0.1","27.7%","±0.1","29.4%","±0.3","28.6%","±0.3","30.3%","±0.4"
"    TRAVEL TIME TO WORK","","","","","","","","","","","",""
"        Less than 10 minutes","9.2%","±0.1","8.3%","±0.1","10.2%","±0.1","5.8%","±0.1","5.4%","±0.2","6.3%","±0.2"
"        10 to 14 minutes","12.1%","±0.1","11.2%","±0.1","13.3%","±0.1","9.2%","±0.2","8.7%","±0.3","9.8%","±0.3"
"        15 to 19 minutes","14.7%","±0.1","13.9%","±0.1","15.6%","±0.1","12.6%","±0.2","12.4%","±0.3","12.8%","±0.3"
"        20 to 24 minutes","14.0%","±0.1","13.8%","±0.1","14.4%","±0.1","13.6%","±0.2","13.2%","±0.3","14.0%","±0.3"
"        25 to 29 minutes","6.1%","±0.1","6.0%","±0.1","6.2%","±0.1","5.6%","±0.1","5.5%","±0.2","5.7%","±0.2"
"        30 to 34 minutes","15.0%","±0.1","15.5%","±0.1","14.5%","±0.1","19.6%","±0.2","20.6%","±0.3","18.4%","±0.3"
"        35 to 44 minutes","7.2%","±0.1","7.3%","±0.1","7.0%","±0.1","8.7%","±0.2","8.6%","±0.3","8.8%","±0.2"
"        45 to 59 minutes","9.0%","±0.1","9.5%","±0.1","8.4%","±0.1","10.8%","±0.2","10.9%","±0.3","10.6%","±0.3"
"        60 or more minutes","12.7%","±0.1","14.4%","±0.1","10.6%","±0.1","14.0%","±0.2","14.5%","±0.2","13.4%","±0.3"
"        Mean travel time to work (minutes)","29.8","±0.1","31.5","±0.1","27.8","±0.1","31.9","±0.1","32.5","±0.2","31.2","±0.2"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Workers 16 years and over in households","18,082,556","±23,578","9,828,873","±14,631","8,253,683","±19,217","1,941,461","±6,986","1,052,333","±5,334","889,128","±4,837"
"        No vehicle available","3.2%","±0.1","3.1%","±0.1","3.2%","±0.1","5.8%","±0.2","5.8%","±0.2","5.7%","±0.3"
"        1 vehicle available","18.0%","±0.1","16.5%","±0.1","19.7%","±0.1","26.7%","±0.3","25.6%","±0.4","27.9%","±0.3"
"        2 vehicles available","37.7%","±0.1","38.2%","±0.1","37.1%","±0.2","37.4%","±0.4","37.5%","±0.5","37.2%","±0.4"
"        3 or more vehicles available","41.2%","±0.1","42.1%","±0.1","40.0%","±0.1","30.1%","±0.4","31.0%","±0.4","29.1%","±0.5"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Means of transportation to work","13.5%","(X)","(X)","(X)","(X)","(X)","13.9%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","15.3%","(X)","(X)","(X)","(X)","(X)","16.0%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","17.8%","(X)","(X)","(X)","(X)","(X)","18.1%","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","25.0%","(X)","(X)","(X)","(X)","(X)","25.8%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","19.1%","(X)","(X)","(X)","(X)","(X)","21.8%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)"
