"Label (Grouping)","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Los Angeles city, California!!Estimate","Los Angeles city, California!!Margin of Error","Los Angeles city, California!!Percent","Los Angeles city, California!!Percent Margin of Error"
"        Moved in 2015 to 2018","3,612,706","±13,940","27.6%","±0.1","388,313","±3,955","27.7%","±0.3"
"        Moved in 2010 to 2014","2,966,677","±11,435","22.6%","±0.1","335,412","±3,597","23.9%","±0.3"
"        Moved in 2000 to 2009","2,898,396","±14,357","22.1%","±0.1","294,564","±3,567","21.0%","±0.3"
"        Moved in 1990 to 1999","1,554,940","±10,685","11.9%","±0.1","169,926","±2,561","12.1%","±0.2"
"        Moved in 1989 and earlier","1,488,973","±9,565","11.4%","±0.1","149,585","±2,445","10.7%","±0.2"
"VEHICLES AVAILABLE","","","","","","","",""
"    Occupied housing units","13,103,114","±18,542","13,103,114","(X)","1,402,522","±4,385","1,402,522","(X)"
"        No vehicles available","920,362","±7,373","7.0%","±0.1","166,251","±2,731","11.9%","±0.2"
"        1 vehicle available","3,935,693","±11,669","30.0%","±0.1","531,940","±4,614","37.9%","±0.3"
"        2 vehicles available","4,843,386","±16,017","37.0%","±0.1","462,400","±3,827","33.0%","±0.3"
"        3 or more vehicles available","3,403,673","±11,738","26.0%","±0.1","241,931","±2,608","17.2%","±0.2"
"HOUSE HEATING FUEL","","","","","","","",""
"    Occupied housing units","13,103,114","±18,542","13,103,114","(X)","1,402,522","±4,385","1,402,522","(X)"
"        Utility gas","8,330,616","±14,734","63.6%","±0.1","842,076","±4,723","60.0%","±0.3"
"        Bottled, tank, or LP gas","442,502","±5,521","3.4%","±0.1","18,188","±1,006","1.3%","±0.1"
"        Electricity","3,553,048","±11,487","27.1%","±0.1","434,598","±4,333","31.0%","±0.3"
"        Fuel oil, kerosene, etc.","31,053","±1,156","0.2%","±0.1","1,092","±247","0.1%","±0.1"
"        Coal or coke","1,709","±358","0.0%","±0.1","134","±92","0.0%","±0.1"
"        Wood","190,229","±2,595","1.5%","±0.1","1,908","±352","0.1%","±0.1"
"        Solar energy","94,529","±2,578","0.7%","±0.1","4,106","±438","0.3%","±0.1"
"        Other fuel","42,538","±1,562","0.3%","±0.1","1,988","±286","0.1%","±0.1"
"        No fuel used","416,890","±4,640","3.2%","±0.1","98,432","±2,015","7.0%","±0.1"
"SELECTED CHARACTERISTICS","","","","","","","",""
"    Occupied housing units","13,103,114","±18,542","13,103,114","(X)","1,402,522","±4,385","1,402,522","(X)"
"        Lacking complete plumbing facilities","54,342","±2,091","0.4%","±0.1","7,983","±684","0.6%","±0.1"
"        Lacking complete kitchen facilities","151,660","±3,357","1.2%","±0.1","26,295","±1,384","1.9%","±0.1"
"        No telephone service available","184,117","±3,305","1.4%","±0.1","21,370","±983","1.5%","±0.1"
"OCCUPANTS PER ROOM","","","","","","","",""
"    Occupied housing units","13,103,114","±18,542","13,103,114","(X)","1,402,522","±4,385","1,402,522","(X)"
"        1.00 or less","12,027,376","±23,068","91.8%","±0.1","1,220,851","±6,060","87.0%","±0.2"
"        1.01 to 1.50","680,753","±7,406","5.2%","±0.1","91,859","±2,351","6.5%","±0.2"
"        1.51 or more","394,985","±4,688","3.0%","±0.1","89,812","±2,144","6.4%","±0.2"
"VALUE","","","","","","","",""
"    Owner-occupied units","7,241,318","±35,711","7,241,318","(X)","518,346","±4,528","518,346","(X)"
"        Less than $50,000","193,188","±4,147","2.7%","±0.1","6,230","±520","1.2%","±0.1"
"        $50,000 to $99,999","148,046","±2,637","2.0%","±0.1","4,416","±491","0.9%","±0.1"
"        $100,000 to $149,999","163,446","±2,603","2.3%","±0.1","3,249","±384","0.6%","±0.1"
"        $150,000 to $199,999","242,443","±4,167","3.3%","±0.1","3,192","±460","0.6%","±0.1"
"        $200,000 to $299,999","719,721","±7,792","9.9%","±0.1","16,937","±927","3.3%","±0.2"
"        $300,000 to $499,999","1,884,335","±12,919","26.0%","±0.1","111,861","±2,488","21.6%","±0.4"
"        $500,000 to $999,999","2,681,277","±14,780","37.0%","±0.1","246,928","±3,787","47.6%","±0.6"
"        $1,000,000 or more","1,208,862","±7,994","16.7%","±0.1","125,533","±2,213","24.2%","±0.4"
"        Median (dollars)","538,500","±1,127","(X)","(X)","670,700","±3,398","(X)","(X)"
"MORTGAGE STATUS","","","","","","","",""
"    Owner-occupied units","7,241,318","±35,711","7,241,318","(X)","518,346","±4,528","518,346","(X)"
"        Housing units with a mortgage","5,035,650","±25,448","69.5%","±0.1","372,003","±3,472","71.8%","±0.4"
"        Housing units without a mortgage","2,205,668","±15,820","30.5%","±0.1","146,343","±2,628","28.2%","±0.4"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","",""
"    Housing units with a mortgage","5,035,650","±25,448","5,035,650","(X)","372,003","±3,472","372,003","(X)"
"        Less than $500","22,673","±1,192","0.5%","±0.1","1,000","±201","0.3%","±0.1"
"        $500 to $999","232,394","±3,633","4.6%","±0.1","7,334","±586","2.0%","±0.2"
"        $1,000 to $1,499","630,184","±6,933","12.5%","±0.1","25,895","±1,084","7.0%","±0.3"
"        $1,500 to $1,999","894,503","±7,709","17.8%","±0.1","50,842","±1,243","13.7%","±0.3"
"        $2,000 to $2,499","874,697","±8,169","17.4%","±0.1","62,777","±1,552","16.9%","±0.4"
"        $2,500 to $2,999","722,216","±7,881","14.3%","±0.1","59,813","±1,678","16.1%","±0.4"
"        $3,000 or more","1,658,983","±10,822","32.9%","±0.1","164,342","±2,800","44.2%","±0.6"
"        Median (dollars)","2,422","±5","(X)","(X)","2,819","±18","(X)","(X)"
"    Housing units without a mortgage","2,205,668","±15,820","2,205,668","(X)","146,343","±2,628","146,343","(X)"
"        Less than $250","171,763","±2,590","7.8%","±0.1","6,157","±439","4.2%","±0.3"
"        $250 to $399","341,473","±5,292","15.5%","±0.2","15,558","±775","10.6%","±0.5"
"        $400 to $599","548,799","±6,834","24.9%","±0.2","29,638","±1,164","20.3%","±0.7"
"        $600 to $799","430,155","±5,662","19.5%","±0.2","28,261","±1,110","19.3%","±0.7"
"        $800 to $999","279,663","±4,380","12.7%","±0.2","21,552","±1,044","14.7%","±0.6"
"        $1,000 or more","433,815","±5,599","19.7%","±0.2","45,177","±1,512","30.9%","±0.9"
"        Median (dollars)","618","±2","(X)","(X)","754","±10","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","5,009,139","±25,656","5,009,139","(X)","369,118","±3,457","369,118","(X)"
"        Less than 20.0 percent","1,725,492","±13,570","34.4%","±0.2","106,061","±2,168","28.7%","±0.5"
"        20.0 to 24.9 percent","774,695","±8,335","15.5%","±0.1","50,529","±1,752","13.7%","±0.5"
"        25.0 to 29.9 percent","602,748","±6,469","12.0%","±0.1","42,133","±1,285","11.4%","±0.3"
"        30.0 to 34.9 percent","439,413","±4,768","8.8%","±0.1","33,055","±1,213","9.0%","±0.3"
"        35.0 percent or more","1,466,791","±9,186","29.3%","±0.2","137,340","±2,436","37.2%","±0.6"
"        Not computed","26,511","±1,217","(X)","(X)","2,885","±445","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","2,174,082","±15,805","2,174,082","(X)","144,124","±2,550","144,124","(X)"
"        Less than 10.0 percent","1,021,914","±10,507","47.0%","±0.3","57,130","±1,528","39.6%","±0.9"
"        10.0 to 14.9 percent","377,070","±5,031","17.3%","±0.2","24,808","±1,138","17.2%","±0.8"
"        15.0 to 19.9 percent","215,626","±3,790","9.9%","±0.2","16,316","±959","11.3%","±0.6"
"        20.0 to 24.9 percent","135,217","±3,000","6.2%","±0.1","10,472","±840","7.3%","±0.6"
"        25.0 to 29.9 percent","93,167","±2,248","4.3%","±0.1","7,212","±674","5.0%","±0.5"
"        30.0 to 34.9 percent","64,680","±1,773","3.0%","±0.1","5,106","±515","3.5%","±0.4"
"        35.0 percent or more","266,408","±3,849","12.3%","±0.2","23,080","±1,288","16.0%","±0.8"
"        Not computed","31,586","±1,435","(X)","(X)","2,219","±304","(X)","(X)"
"GROSS RENT","","","","","","","",""
"    Occupied units paying rent","5,678,016","±20,481","5,678,016","(X)","865,877","±4,343","865,877","(X)"
"        Less than $500","263,306","±4,074","4.6%","±0.1","44,630","±1,619","5.2%","±0.2"
"        $500 to $999","826,838","±7,253","14.6%","±0.1","119,637","±2,634","13.8%","±0.3"
"        $1,000 to $1,499","1,517,030","±9,261","26.7%","±0.1","259,348","±3,328","30.0%","±0.4"
"        $1,500 to $1,999","1,349,250","±8,470","23.8%","±0.1","203,998","±2,702","23.6%","±0.3"
"        $2,000 to $2,499","820,826","±8,852","14.5%","±0.1","116,140","±2,354","13.4%","±0.3"
"        $2,500 to $2,999","434,206","±5,416","7.6%","±0.1","60,439","±2,214","7.0%","±0.2"
"        $3,000 or more","466,560","±6,043","8.2%","±0.1","61,685","±1,835","7.1%","±0.2"
"        Median (dollars)","1,586","±4","(X)","(X)","1,523","±9","(X)","(X)"
"        No rent paid","183,780","±3,614","(X)","(X)","18,299","±1,152","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","5,572,918","±19,871","5,572,918","(X)","845,894","±4,346","845,894","(X)"
"        Less than 15.0 percent","592,617","±6,405","10.6%","±0.1","78,538","±2,268","9.3%","±0.3"
"        15.0 to 19.9 percent","637,465","±6,710","11.4%","±0.1","83,592","±2,293","9.9%","±0.3"
"        20.0 to 24.9 percent","681,447","±7,125","12.2%","±0.1","91,801","±2,347","10.9%","±0.3"
"        25.0 to 29.9 percent","642,154","±6,848","11.5%","±0.1","94,762","±2,677","11.2%","±0.3"
"        30.0 to 34.9 percent","527,570","±5,846","9.5%","±0.1","80,271","±2,076","9.5%","±0.2"
"        35.0 percent or more","2,491,665","±16,984","44.7%","±0.2","416,930","±4,467","49.3%","±0.5"
"        Not computed","288,878","±4,922","(X)","(X)","38,282","±1,587","(X)","(X)"
