"Label (Grouping)","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Percent!!Estimate","California!!Percent!!Margin of Error","California!!Male!!Estimate","California!!Male!!Margin of Error","California!!Percent Male!!Estimate","California!!Percent Male!!Margin of Error","California!!Female!!Estimate","California!!Female!!Margin of Error","California!!Percent Female!!Estimate","California!!Percent Female!!Margin of Error","Los Angeles city, California!!Total!!Estimate","Los Angeles city, California!!Total!!Margin of Error","Los Angeles city, California!!Percent!!Estimate","Los Angeles city, California!!Percent!!Margin of Error","Los Angeles city, California!!Male!!Estimate","Los Angeles city, California!!Male!!Margin of Error","Los Angeles city, California!!Percent Male!!Estimate","Los Angeles city, California!!Percent Male!!Margin of Error","Los Angeles city, California!!Female!!Estimate","Los Angeles city, California!!Female!!Margin of Error","Los Angeles city, California!!Percent Female!!Estimate","Los Angeles city, California!!Percent Female!!Margin of Error"
"        Some college, no degree","5,566,520","±16,878","20.9%","±0.1","2,724,553","±11,701","20.8%","±0.1","2,841,967","±11,016","20.9%","±0.1","483,942","±5,037","17.5%","±0.2","240,148","±3,202","17.7%","±0.3","243,794","±3,615","17.3%","±0.2"
"        Associate's degree","2,123,827","±11,767","8.0%","±0.1","949,935","±6,201","7.3%","±0.1","1,173,892","±8,777","8.6%","±0.1","175,021","±3,137","6.3%","±0.1","79,683","±1,976","5.9%","±0.1","95,338","±2,198","6.8%","±0.2"
"        Bachelor's degree","5,764,827","±21,887","21.6%","±0.1","2,764,363","±13,091","21.2%","±0.1","3,000,464","±13,473","22.1%","±0.1","644,695","±5,768","23.3%","±0.2","314,426","±3,541","23.2%","±0.3","330,269","±3,925","23.4%","±0.3"
"        Graduate or professional degree","3,492,046","±22,526","13.1%","±0.1","1,729,850","±12,965","13.2%","±0.1","1,762,196","±13,747","13.0%","±0.1","341,449","±4,578","12.3%","±0.2","165,780","±2,853","12.2%","±0.2","175,669","±3,140","12.4%","±0.2"
"        High school graduate or higher","22,378,605","±22,567","83.9%","±0.1","10,934,253","±13,164","83.7%","±0.1","11,444,352","±13,603","84.2%","±0.1","2,165,718","±7,076","78.3%","±0.2","1,063,605","±4,641","78.5%","±0.2","1,102,113","±5,249","78.1%","±0.3"
"        Bachelor's degree or higher","9,256,873","±37,138","34.7%","±0.1","4,494,213","±19,479","34.4%","±0.1","4,762,660","±20,709","35.0%","±0.2","986,144","±7,029","35.6%","±0.2","480,206","±4,187","35.4%","±0.3","505,938","±4,665","35.8%","±0.3"
"    Population 25 to 34 years","6,007,913","±1,669","(X)","(X)","3,099,959","±1,101","(X)","(X)","2,907,954","±1,091","(X)","(X)","723,858","±4,490","(X)","(X)","370,444","±3,618","(X)","(X)","353,414","±3,048","(X)","(X)"
"        High school graduate or higher","5,427,755","±6,457","90.3%","±0.1","2,756,289","±4,236","88.9%","±0.1","2,671,466","±4,225","91.9%","±0.1","644,364","±4,788","89.0%","±0.3","324,624","±3,713","87.6%","±0.4","319,740","±3,039","90.5%","±0.4"
"        Bachelor's degree or higher","2,266,953","±14,281","37.7%","±0.2","1,054,043","±8,037","34.0%","±0.3","1,212,910","±8,942","41.7%","±0.3","313,884","±4,860","43.4%","±0.6","147,474","±2,915","39.8%","±0.7","166,410","±3,302","47.1%","±0.8"
"    Population 35 to 44 years","5,233,903","±1,541","(X)","(X)","2,642,814","±1,063","(X)","(X)","2,591,089","±987","(X)","(X)","571,032","±3,783","(X)","(X)","291,688","±2,782","(X)","(X)","279,344","±2,479","(X)","(X)"
"        High school graduate or higher","4,401,538","±7,592","84.1%","±0.1","2,193,766","±5,098","83.0%","±0.2","2,207,772","±4,789","85.2%","±0.2","448,321","±4,071","78.5%","±0.4","228,600","±2,923","78.4%","±0.6","219,721","±2,619","78.7%","±0.5"
"        Bachelor's degree or higher","1,986,845","±12,004","38.0%","±0.2","936,054","±6,784","35.4%","±0.3","1,050,791","±7,073","40.6%","±0.3","220,639","±3,379","38.6%","±0.5","108,759","±2,354","37.3%","±0.7","111,880","±2,181","40.1%","±0.7"
"    Population 45 to 64 years","9,778,830","±1,439","(X)","(X)","4,815,868","±1,138","(X)","(X)","4,962,962","±874","(X)","(X)","961,901","±5,038","(X)","(X)","474,852","±3,201","(X)","(X)","487,049","±3,439","(X)","(X)"
"        High school graduate or higher","7,991,503","±9,044","81.7%","±0.1","3,907,304","±6,262","81.1%","±0.1","4,084,199","±6,435","82.3%","±0.1","703,090","±4,734","73.1%","±0.3","345,551","±2,827","72.8%","±0.4","357,539","±3,512","73.4%","±0.4"
"        Bachelor's degree or higher","3,193,968","±14,888","32.7%","±0.2","1,563,834","±8,994","32.5%","±0.2","1,630,134","±8,352","32.8%","±0.2","294,402","±3,402","30.6%","±0.3","143,838","±2,240","30.3%","±0.4","150,564","±2,251","30.9%","±0.4"
"    Population 65 years and over","5,644,497","±831","(X)","(X)","2,511,445","±543","(X)","(X)","3,133,052","±500","(X)","(X)","510,787","±4,484","(X)","(X)","218,701","±2,376","(X)","(X)","292,086","±3,362","(X)","(X)"
"        High school graduate or higher","4,557,809","±9,096","80.7%","±0.2","2,076,894","±5,113","82.7%","±0.2","2,480,915","±6,125","79.2%","±0.2","369,943","±3,473","72.4%","±0.5","164,830","±2,287","75.4%","±0.7","205,113","±2,582","70.2%","±0.6"
"        Bachelor's degree or higher","1,809,107","±9,632","32.1%","±0.2","940,282","±6,290","37.4%","±0.3","868,825","±6,170","27.7%","±0.2","157,219","±2,686","30.8%","±0.5","80,135","±1,605","36.6%","±0.7","77,084","±1,828","26.4%","±0.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","15,554,468","±19,527","(X)","(X)","7,687,708","±10,533","(X)","(X)","7,866,760","±10,908","(X)","(X)","1,408,693","±7,315","(X)","(X)","702,804","±4,815","(X)","(X)","705,889","±4,639","(X)","(X)"
"        High school graduate or higher","13,576,646","±22,160","87.3%","±0.1","6,681,915","±11,859","86.9%","±0.1","6,894,731","±12,887","87.6%","±0.1","1,165,917","±6,413","82.8%","±0.2","585,586","±4,195","83.3%","±0.3","580,331","±4,363","82.2%","±0.3"
"        Bachelor's degree or higher","5,651,032","±25,779","36.3%","±0.2","2,812,994","±13,916","36.6%","±0.2","2,838,038","±14,649","36.1%","±0.2","595,899","±5,252","42.3%","±0.3","302,300","±3,194","43.0%","±0.4","293,599","±3,676","41.6%","±0.5"
"    White alone, not Hispanic or Latino","11,090,696","±4,085","(X)","(X)","5,493,389","±2,352","(X)","(X)","5,597,307","±2,440","(X)","(X)","904,296","±5,869","(X)","(X)","457,828","±3,389","(X)","(X)","446,468","±3,831","(X)","(X)"
"        High school graduate or higher","10,549,998","±7,399","95.1%","±0.1","5,217,217","±5,058","95.0%","±0.1","5,332,781","±4,487","95.3%","±0.1","865,306","±5,608","95.7%","±0.2","439,001","±3,156","95.9%","±0.2","426,305","±3,823","95.5%","±0.2"
"        Bachelor's degree or higher","4,951,808","±20,102","44.6%","±0.2","2,500,227","±11,769","45.5%","±0.2","2,451,581","±11,074","43.8%","±0.2","518,927","±4,854","57.4%","±0.5","267,951","±2,828","58.5%","±0.5","250,976","±3,443","56.2%","±0.6"
"    Black alone","1,545,258","±4,241","(X)","(X)","753,579","±2,998","(X)","(X)","791,679","±2,690","(X)","(X)","254,706","±3,745","(X)","(X)","119,754","±2,265","(X)","(X)","134,952","±2,554","(X)","(X)"
"        High school graduate or higher","1,393,581","±5,309","90.2%","±0.2","671,321","±3,750","89.1%","±0.3","722,260","±3,399","91.2%","±0.3","226,689","±3,734","89.0%","±0.6","105,628","±2,176","88.2%","±0.9","121,061","±2,544","89.7%","±0.7"
"        Bachelor's degree or higher","418,855","±5,825","27.1%","±0.4","190,665","±3,509","25.3%","±0.4","228,190","±3,803","28.8%","±0.5","72,250","±2,384","28.4%","±0.8","32,072","±1,436","26.8%","±1.1","40,178","±1,756","29.8%","±1.1"
"    American Indian or Alaska Native alone","206,636","±3,632","(X)","(X)","104,140","±2,368","(X)","(X)","102,496","±2,084","(X)","(X)","20,302","±1,324","(X)","(X)","10,099","±726","(X)","(X)","10,203","±844","(X)","(X)"
"        High school graduate or higher","157,123","±3,160","76.0%","±0.8","78,140","±2,143","75.0%","±1.1","78,983","±1,820","77.1%","±0.9","13,401","±928","66.0%","±2.4","6,668","±569","66.0%","±2.9","6,733","±624","66.0%","±3.3"
"        Bachelor's degree or higher","31,320","±1,508","15.2%","±0.7","14,155","±930","13.6%","±0.9","17,165","±1,077","16.7%","±1.0","3,515","±462","17.3%","±2.1","1,570","±305","15.5%","±2.8","1,945","±305","19.1%","±2.7"
"    Asian alone","4,267,150","±6,399","(X)","(X)","1,963,843","±4,396","(X)","(X)","2,303,307","±3,805","(X)","(X)","360,584","±3,990","(X)","(X)","160,534","±2,377","(X)","(X)","200,050","±2,801","(X)","(X)"
"        High school graduate or higher","3,756,863","±8,615","88.0%","±0.1","1,760,239","±5,645","89.6%","±0.2","1,996,624","±5,343","86.7%","±0.2","327,183","±3,850","90.7%","±0.4","148,427","±2,234","92.5%","±0.5","178,756","±2,788","89.4%","±0.5"
"        Bachelor's degree or higher","2,288,312","±11,947","53.6%","±0.3","1,075,142","±7,094","54.7%","±0.4","1,213,170","±6,806","52.7%","±0.3","200,583","±3,108","55.6%","±0.6","90,597","±1,621","56.4%","±0.8","109,986","±2,447","55.0%","±0.9"
"    Native Hawaiian and Other Pacific Islander alone","102,970","±1,454","(X)","(X)","49,708","±1,101","(X)","(X)","53,262","±873","(X)","(X)","4,746","±605","(X)","(X)","2,232","±314","(X)","(X)","2,514","±443","(X)","(X)"
"        High school graduate or higher","89,552","±1,601","87.0%","±0.9","43,170","±1,195","86.8%","±1.3","46,382","±909","87.1%","±1.0","4,035","±517","85.0%","±4.4","1,885","±271","84.5%","±6.9","2,150","±390","85.5%","±6.3"
"        Bachelor's degree or higher","21,520","±1,306","20.9%","±1.3","10,751","±904","21.6%","±1.8","10,769","±892","20.2%","±1.7","1,093","±302","23.0%","±5.8","558","±200","25.0%","±8.3","535","±186","21.3%","±6.7"
"    Some other race alone","3,393,841","±19,375","(X)","(X)","1,720,223","±10,518","(X)","(X)","1,673,618","±10,238","(X)","(X)","558,241","±7,525","(X)","(X)","280,456","±4,295","(X)","(X)","277,785","±3,936","(X)","(X)"
"        High school graduate or higher","2,081,042","±14,369","61.3%","±0.3","1,049,014","±8,688","61.0%","±0.3","1,032,028","±7,715","61.7%","±0.3","300,972","±5,416","53.9%","±0.6","151,628","±3,152","54.1%","±0.6","149,344","±3,354","53.8%","±0.8"
"        Bachelor's degree or higher","374,508","±5,987","11.0%","±0.2","173,353","±3,762","10.1%","±0.2","201,155","±3,543","12.0%","±0.2","57,810","±2,027","10.4%","±0.3","27,181","±1,408","9.7%","±0.5","30,629","±1,335","11.0%","±0.4"
"    Two or more races","1,594,820","±16,174","(X)","(X)","790,885","±9,889","(X)","(X)","803,935","±8,970","(X)","(X)","160,306","±5,295","(X)","(X)","79,806","±3,035","(X)","(X)","80,500","±3,129","(X)","(X)"
"        High school graduate or higher","1,323,798","±14,557","83.0%","±0.4","650,454","±8,646","82.2%","±0.5","673,344","±9,086","83.8%","±0.5","127,521","±4,549","79.5%","±1.3","63,783","±2,834","79.9%","±1.5","63,738","±2,684","79.2%","±1.7"
"        Bachelor's degree or higher","471,326","±8,683","29.6%","±0.4","217,153","±5,318","27.5%","±0.6","254,173","±5,398","31.6%","±0.5","54,994","±2,801","34.3%","±1.4","25,928","±1,672","32.5%","±1.8","29,066","±1,829","36.1%","±1.7"
"    Hispanic or Latino Origin","8,951,878","±446","(X)","(X)","4,463,248","±456","(X)","(X)","4,488,630","±414","(X)","(X)","1,180,631","±5,804","(X)","(X)","585,093","±3,439","(X)","(X)","595,538","±4,114","(X)","(X)"
"        High school graduate or higher","5,926,440","±17,391","66.2%","±0.2","2,919,115","±10,066","65.4%","±0.2","3,007,325","±10,899","67.0%","±0.2","682,680","±5,639","57.8%","±0.4","339,592","±3,269","58.0%","±0.4","343,088","±4,059","57.6%","±0.5"
"        Bachelor's degree or higher","1,282,362","±13,837","14.3%","±0.2","578,129","±7,690","13.0%","±0.2","704,233","±8,866","15.7%","±0.2","158,840","±3,255","13.5%","±0.3","73,104","±2,082","12.5%","±0.4","85,736","±2,317","14.4%","±0.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","20.8%","±0.2","(X)","(X)","17.6%","±0.2","(X)","(X)","23.8%","±0.2","(X)","(X)","25.0%","±0.5","(X)","(X)","20.5%","±0.6","(X)","(X)","29.2%","±0.6"
"    High school graduate (includes equivalency)","(X)","(X)","13.4%","±0.1","(X)","(X)","11.4%","±0.2","(X)","(X)","15.4%","±0.2","(X)","(X)","17.1%","±0.5","(X)","(X)","14.4%","±0.6","(X)","(X)","19.8%","±0.7"
"    Some college or associate's degree","(X)","(X)","9.4%","±0.1","(X)","(X)","7.9%","±0.1","(X)","(X)","10.8%","±0.1","(X)","(X)","13.0%","±0.4","(X)","(X)","11.5%","±0.4","(X)","(X)","14.5%","±0.5"
"    Bachelor's degree or higher","(X)","(X)","4.8%","±0.1","(X)","(X)","4.4%","±0.1","(X)","(X)","5.1%","±0.1","(X)","(X)","6.9%","±0.2","(X)","(X)","6.6%","±0.4","(X)","(X)","7.2%","±0.3"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","44,077","±139","(X)","(X)","50,627","±152","(X)","(X)","38,012","±158","(X)","(X)","37,970","±280","(X)","(X)","41,021","±262","(X)","(X)","34,359","±394","(X)","(X)"
"        Less than high school graduate","25,253","±92","(X)","(X)","29,734","±226","(X)","(X)","19,064","±163","(X)","(X)","22,737","±272","(X)","(X)","25,900","±276","(X)","(X)","18,044","±337","(X)","(X)"
"        High school graduate (includes equivalency)","32,560","±171","(X)","(X)","38,059","±283","(X)","(X)","26,830","±134","(X)","(X)","29,641","±529","(X)","(X)","32,252","±340","(X)","(X)","25,540","±457","(X)","(X)"
"        Some college or associate's degree","40,683","±99","(X)","(X)","48,230","±274","(X)","(X)","34,162","±170","(X)","(X)","36,375","±513","(X)","(X)","40,512","±597","(X)","(X)","32,433","±456","(X)","(X)"
"        Bachelor's degree","64,554","±307","(X)","(X)","76,714","±447","(X)","(X)","54,297","±256","(X)","(X)","55,659","±1,095","(X)","(X)","63,120","±952","(X)","(X)","51,016","±618","(X)","(X)"
"        Graduate or professional degree","91,622","±344","(X)","(X)","108,329","±621","(X)","(X)","77,953","±570","(X)","(X)","79,264","±1,364","(X)","(X)","90,799","±2,072","(X)","(X)","70,862","±1,317","(X)","(X)"
