"Label (Grouping)","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Male!!Estimate","Texas!!Male!!Margin of Error","Texas!!Female!!Estimate","Texas!!Female!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Male!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Male!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Female!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Female!!Margin of Error"
"        6:00 a.m. to 6:29 a.m.","9.6%","±0.1","11.3%","±0.1","7.6%","±0.1","11.5%","±0.2","13.0%","±0.3","9.7%","±0.3"
"        6:30 a.m. to 6:59 a.m.","9.7%","±0.1","9.8%","±0.1","9.7%","±0.1","10.1%","±0.2","9.6%","±0.2","10.8%","±0.2"
"        7:00 a.m. to 7:29 a.m.","15.8%","±0.1","14.8%","±0.1","17.0%","±0.1","15.5%","±0.2","14.8%","±0.3","16.4%","±0.3"
"        7:30 a.m. to 7:59 a.m.","12.2%","±0.1","10.4%","±0.1","14.4%","±0.2","9.8%","±0.2","8.5%","±0.2","11.5%","±0.3"
"        8:00 a.m. to 8:29 a.m.","10.7%","±0.1","10.1%","±0.1","11.5%","±0.1","10.4%","±0.2","9.5%","±0.2","11.6%","±0.3"
"        8:30 a.m. to 8:59 a.m.","4.8%","±0.1","4.0%","±0.1","5.7%","±0.1","4.5%","±0.1","3.7%","±0.1","5.6%","±0.2"
"        9:00 a.m. to 11:59 p.m.","22.7%","±0.1","21.2%","±0.1","24.6%","±0.2","21.4%","±0.2","19.4%","±0.3","24.0%","±0.4"
"    TRAVEL TIME TO WORK","","","","","","","","","","","",""
"        Less than 10 minutes","11.7%","±0.1","10.5%","±0.1","13.0%","±0.2","7.6%","±0.2","6.8%","±0.2","8.7%","±0.3"
"        10 to 14 minutes","13.2%","±0.1","12.1%","±0.1","14.5%","±0.1","10.2%","±0.2","9.1%","±0.3","11.5%","±0.3"
"        15 to 19 minutes","15.6%","±0.1","14.7%","±0.1","16.7%","±0.2","13.3%","±0.2","12.2%","±0.3","14.6%","±0.3"
"        20 to 24 minutes","14.3%","±0.1","14.1%","±0.1","14.7%","±0.1","13.5%","±0.2","12.8%","±0.2","14.3%","±0.3"
"        25 to 29 minutes","6.3%","±0.1","6.1%","±0.1","6.4%","±0.1","6.4%","±0.1","6.2%","±0.2","6.5%","±0.2"
"        30 to 34 minutes","14.9%","±0.1","15.7%","±0.1","13.9%","±0.2","17.5%","±0.2","18.2%","±0.3","16.5%","±0.4"
"        35 to 44 minutes","7.0%","±0.1","7.4%","±0.1","6.5%","±0.1","9.0%","±0.2","9.5%","±0.2","8.3%","±0.3"
"        45 to 59 minutes","8.8%","±0.1","9.3%","±0.1","8.0%","±0.1","11.8%","±0.2","12.5%","±0.3","10.8%","±0.3"
"        60 or more minutes","8.3%","±0.1","10.0%","±0.1","6.3%","±0.1","10.9%","±0.2","12.6%","±0.3","8.6%","±0.3"
"        Mean travel time to work (minutes)","26.6","±0.1","28.4","±0.1","24.4","±0.1","30.0","±0.1","31.7","±0.2","27.8","±0.2"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Workers 16 years and over in households","13,220,891","±22,911","7,209,591","±15,331","6,011,300","±16,217","3,265,425","±11,388","1,809,313","±8,082","1,456,112","±7,856"
"        No vehicle available","2.1%","±0.1","2.1%","±0.1","2.2%","±0.1","2.4%","±0.1","2.2%","±0.1","2.5%","±0.2"
"        1 vehicle available","19.8%","±0.1","17.5%","±0.2","22.6%","±0.2","20.0%","±0.3","17.8%","±0.3","22.8%","±0.4"
"        2 vehicles available","42.7%","±0.2","43.8%","±0.2","41.5%","±0.2","43.3%","±0.4","44.6%","±0.4","41.8%","±0.5"
"        3 or more vehicles available","35.3%","±0.2","36.6%","±0.2","33.8%","±0.2","34.3%","±0.4","35.4%","±0.4","32.9%","±0.4"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Means of transportation to work","11.3%","(X)","(X)","(X)","(X)","(X)","12.2%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","12.9%","(X)","(X)","(X)","(X)","(X)","14.1%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","15.1%","(X)","(X)","(X)","(X)","(X)","16.5%","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","22.8%","(X)","(X)","(X)","(X)","(X)","24.8%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","17.6%","(X)","(X)","(X)","(X)","(X)","19.0%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.3%","(X)","(X)","(X)","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)"
