"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Margin of Error"
"        Built 2000 to 2009","2,075,148","±11,380","18.7%","±0.1","548,547","±6,756","20.7%","±0.3"
"        Built 1990 to 1999","1,678,535","±11,184","15.1%","±0.1","379,266","±5,833","14.3%","±0.2"
"        Built 1980 to 1989","1,772,042","±10,168","15.9%","±0.1","406,980","±5,837","15.4%","±0.2"
"        Built 1970 to 1979","1,651,689","±10,807","14.9%","±0.1","433,639","±5,392","16.4%","±0.2"
"        Built 1960 to 1969","981,038","±6,707","8.8%","±0.1","217,026","±3,595","8.2%","±0.1"
"        Built 1950 to 1959","854,731","±7,215","7.7%","±0.1","162,428","±3,300","6.1%","±0.1"
"        Built 1940 to 1949","358,343","±4,715","3.2%","±0.1","67,287","±2,143","2.5%","±0.1"
"        Built 1939 or earlier","384,112","±4,879","3.5%","±0.1","63,937","±2,132","2.4%","±0.1"
"ROOMS","","","","","","","",""
"    Total housing units","11,112,975","±3,353","11,112,975","(X)","2,646,682","±980","2,646,682","(X)"
"        1 room","244,709","±4,731","2.2%","±0.1","54,913","±2,375","2.1%","±0.1"
"        2 rooms","385,825","±5,565","3.5%","±0.1","84,461","±2,811","3.2%","±0.1"
"        3 rooms","1,136,889","±9,842","10.2%","±0.1","302,625","±4,013","11.4%","±0.2"
"        4 rooms","1,801,767","±12,154","16.2%","±0.1","414,244","±5,538","15.7%","±0.2"
"        5 rooms","2,254,638","±13,428","20.3%","±0.1","440,742","±6,368","16.7%","±0.2"
"        6 rooms","2,002,572","±12,257","18.0%","±0.1","457,981","±6,739","17.3%","±0.3"
"        7 rooms","1,266,063","±10,035","11.4%","±0.1","309,678","±5,091","11.7%","±0.2"
"        8 rooms","887,368","±8,505","8.0%","±0.1","243,029","±4,265","9.2%","±0.2"
"        9 rooms or more","1,133,144","±12,472","10.2%","±0.1","339,009","±5,885","12.8%","±0.2"
"        Median rooms","5.4","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","",""
"    Total housing units","11,112,975","±3,353","11,112,975","(X)","2,646,682","±980","2,646,682","(X)"
"        No bedroom","262,759","±4,876","2.4%","±0.1","58,739","±2,418","2.2%","±0.1"
"        1 bedroom","1,405,448","±10,538","12.6%","±0.1","389,412","±5,456","14.7%","±0.2"
"        2 bedrooms","2,450,868","±12,686","22.1%","±0.1","533,225","±5,565","20.1%","±0.2"
"        3 bedrooms","4,497,074","±16,365","40.5%","±0.1","938,225","±7,317","35.4%","±0.3"
"        4 bedrooms","2,074,870","±12,892","18.7%","±0.1","591,081","±6,724","22.3%","±0.3"
"        5 or more bedrooms","421,956","±5,685","3.8%","±0.1","136,000","±3,923","5.1%","±0.1"
"HOUSING TENURE","","","","","","","",""
"    Occupied housing units","9,906,070","±18,881","9,906,070","(X)","2,407,993","±5,139","2,407,993","(X)"
"        Owner-occupied","6,168,808","±30,914","62.3%","±0.2","1,466,613","±10,021","60.9%","±0.4"
"        Renter-occupied","3,737,262","±17,284","37.7%","±0.2","941,380","±8,433","39.1%","±0.4"
"        Average household size of owner-occupied unit","2.98","±0.01","(X)","(X)","3.04","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.59","±0.01","(X)","(X)","2.59","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","",""
"    Occupied housing units","9,906,070","±18,881","9,906,070","(X)","2,407,993","±5,139","2,407,993","(X)"
"        Moved in 2019 or later","601,533","±8,198","6.1%","±0.1","147,831","±4,763","6.1%","±0.2"
"        Moved in 2015 to 2018","3,214,064","±12,174","32.4%","±0.1","800,509","±6,717","33.2%","±0.3"
"        Moved in 2010 to 2014","2,013,953","±14,359","20.3%","±0.1","513,685","±5,755","21.3%","±0.2"
"        Moved in 2000 to 2009","2,180,517","±13,298","22.0%","±0.1","537,852","±5,894","22.3%","±0.2"
"        Moved in 1990 to 1999","995,974","±9,363","10.1%","±0.1","226,827","±4,496","9.4%","±0.2"
"        Moved in 1989 and earlier","900,029","±7,641","9.1%","±0.1","181,289","±3,459","7.5%","±0.1"
"VEHICLES AVAILABLE","","","","","","","",""
"    Occupied housing units","9,906,070","±18,881","9,906,070","(X)","2,407,993","±5,139","2,407,993","(X)"
"        No vehicles available","518,950","±5,797","5.2%","±0.1","125,307","±3,497","5.2%","±0.1"
"        1 vehicle available","3,197,957","±13,626","32.3%","±0.2","764,984","±7,447","31.8%","±0.3"
"        2 vehicles available","3,970,314","±18,860","40.1%","±0.2","984,974","±8,800","40.9%","±0.3"
"        3 or more vehicles available","2,218,849","±12,137","22.4%","±0.1","532,728","±5,912","22.1%","±0.2"
"HOUSE HEATING FUEL","","","","","","","",""
"    Occupied housing units","9,906,070","±18,881","9,906,070","(X)","2,407,993","±5,139","2,407,993","(X)"
"        Utility gas","3,520,051","±21,108","35.5%","±0.2","1,060,064","±8,678","44.0%","±0.3"
"        Bottled, tank, or LP gas","287,602","±4,691","2.9%","±0.1","47,826","±2,067","2.0%","±0.1"
"        Electricity","5,987,286","±13,135","60.4%","±0.2","1,278,143","±7,963","53.1%","±0.3"
"        Fuel oil, kerosene, etc.","8,558","±700","0.1%","±0.1","1,793","±382","0.1%","±0.1"
"        Coal or coke","1,138","±248","0.0%","±0.1","292","±141","0.0%","±0.1"
"        Wood","28,962","±1,291","0.3%","±0.1","1,728","±402","0.1%","±0.1"
"        Solar energy","8,738","±818","0.1%","±0.1","1,053","±273","0.0%","±0.1"
"        Other fuel","13,801","±1,075","0.1%","±0.1","2,921","±506","0.1%","±0.1"
"        No fuel used","49,934","±2,471","0.5%","±0.1","14,173","±1,502","0.6%","±0.1"
"SELECTED CHARACTERISTICS","","","","","","","",""
"    Occupied housing units","9,906,070","±18,881","9,906,070","(X)","2,407,993","±5,139","2,407,993","(X)"
"        Lacking complete plumbing facilities","40,258","±1,692","0.4%","±0.1","8,547","±943","0.4%","±0.1"
"        Lacking complete kitchen facilities","75,973","±2,804","0.8%","±0.1","16,029","±1,264","0.7%","±0.1"
"        No telephone service available","182,611","±3,840","1.8%","±0.1","37,918","±2,182","1.6%","±0.1"
"OCCUPANTS PER ROOM","","","","","","","",""
"    Occupied housing units","9,906,070","±18,881","9,906,070","(X)","2,407,993","±5,139","2,407,993","(X)"
"        1.00 or less","9,436,314","±21,599","95.3%","±0.1","2,286,596","±6,244","95.0%","±0.2"
"        1.01 to 1.50","329,585","±5,167","3.3%","±0.1","86,346","±2,825","3.6%","±0.1"
"        1.51 or more","140,171","±3,064","1.4%","±0.1","35,051","±2,008","1.5%","±0.1"
"VALUE","","","","","","","",""
"    Owner-occupied units","6,168,808","±30,914","6,168,808","(X)","1,466,613","±10,021","1,466,613","(X)"
"        Less than $50,000","509,027","±5,848","8.3%","±0.1","73,539","±2,591","5.0%","±0.2"
"        $50,000 to $99,999","909,643","±9,056","14.7%","±0.1","152,496","±3,446","10.4%","±0.2"
"        $100,000 to $149,999","907,743","±7,921","14.7%","±0.1","214,635","±3,652","14.6%","±0.2"
"        $150,000 to $199,999","976,114","±8,750","15.8%","±0.1","260,812","±4,668","17.8%","±0.3"
"        $200,000 to $299,999","1,305,598","±10,844","21.2%","±0.1","351,183","±5,692","23.9%","±0.3"
"        $300,000 to $499,999","1,048,820","±9,148","17.0%","±0.1","271,540","±4,706","18.5%","±0.3"
"        $500,000 to $999,999","404,146","±5,014","6.6%","±0.1","107,259","±2,752","7.3%","±0.2"
"        $1,000,000 or more","107,717","±2,559","1.7%","±0.1","35,149","±1,359","2.4%","±0.1"
"        Median (dollars)","187,200","±597","(X)","(X)","208,100","±1,376","(X)","(X)"
"MORTGAGE STATUS","","","","","","","",""
"    Owner-occupied units","6,168,808","±30,914","6,168,808","(X)","1,466,613","±10,021","1,466,613","(X)"
"        Housing units with a mortgage","3,503,079","±19,335","56.8%","±0.1","881,216","±7,890","60.1%","±0.4"
"        Housing units without a mortgage","2,665,729","±16,065","43.2%","±0.1","585,397","±6,626","39.9%","±0.4"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","",""
"    Housing units with a mortgage","3,503,079","±19,335","3,503,079","(X)","881,216","±7,890","881,216","(X)"
"        Less than $500","27,822","±1,376","0.8%","±0.1","4,622","±637","0.5%","±0.1"
"        $500 to $999","467,419","±6,227","13.3%","±0.2","77,526","±2,755","8.8%","±0.3"
"        $1,000 to $1,499","963,514","±10,356","27.5%","±0.2","219,047","±4,710","24.9%","±0.5"
"        $1,500 to $1,999","856,535","±8,627","24.5%","±0.2","227,101","±5,167","25.8%","±0.5"
"        $2,000 to $2,499","495,065","±6,143","14.1%","±0.2","139,082","±3,319","15.8%","±0.4"
"        $2,500 to $2,999","282,770","±4,141","8.1%","±0.1","85,228","±2,892","9.7%","±0.3"
"        $3,000 or more","409,954","±5,414","11.7%","±0.1","128,610","±2,651","14.6%","±0.3"
"        Median (dollars)","1,654","±5","(X)","(X)","1,788","±10","(X)","(X)"
"    Housing units without a mortgage","2,665,729","±16,065","2,665,729","(X)","585,397","±6,626","585,397","(X)"
"        Less than $250","302,083","±5,291","11.3%","±0.2","54,418","±2,448","9.3%","±0.4"
"        $250 to $399","559,450","±6,933","21.0%","±0.2","95,363","±2,252","16.3%","±0.4"
"        $400 to $599","717,895","±7,184","26.9%","±0.2","141,806","±2,985","24.2%","±0.5"
"        $600 to $799","467,005","±5,231","17.5%","±0.2","108,091","±2,497","18.5%","±0.4"
"        $800 to $999","261,229","±3,990","9.8%","±0.1","69,791","±2,199","11.9%","±0.3"
"        $1,000 or more","358,067","±5,356","13.4%","±0.2","115,928","±3,231","19.8%","±0.4"
"        Median (dollars)","526","±2","(X)","(X)","602","±6","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","3,486,748","±19,319","3,486,748","(X)","878,031","±7,875","878,031","(X)"
"        Less than 20.0 percent","1,639,650","±15,424","47.0%","±0.3","411,714","±6,317","46.9%","±0.6"
"        20.0 to 24.9 percent","564,706","±7,490","16.2%","±0.2","143,045","±4,269","16.3%","±0.4"
"        25.0 to 29.9 percent","366,254","±5,021","10.5%","±0.1","93,588","±2,968","10.7%","±0.3"
"        30.0 to 34.9 percent","233,705","±4,403","6.7%","±0.1","55,816","±2,095","6.4%","±0.3"
"        35.0 percent or more","682,433","±6,820","19.6%","±0.2","173,868","±3,517","19.8%","±0.4"
"        Not computed","16,331","±1,163","(X)","(X)","3,185","±449","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","2,630,808","±16,346","2,630,808","(X)","578,196","±6,649","578,196","(X)"
"        Less than 10.0 percent","1,191,230","±11,891","45.3%","±0.3","270,919","±5,216","46.9%","±0.7"
"        10.0 to 14.9 percent","535,435","±6,286","20.4%","±0.2","114,069","±2,859","19.7%","±0.5"
"        15.0 to 19.9 percent","294,406","±4,751","11.2%","±0.2","59,555","±2,371","10.3%","±0.4"
"        20.0 to 24.9 percent","170,273","±3,906","6.5%","±0.1","36,569","±2,097","6.3%","±0.4"
"        25.0 to 29.9 percent","109,326","±2,717","4.2%","±0.1","23,124","±1,605","4.0%","±0.3"
"        30.0 to 34.9 percent","75,118","±2,490","2.9%","±0.1","16,773","±1,219","2.9%","±0.2"
"        35.0 percent or more","255,020","±5,284","9.7%","±0.2","57,187","±2,360","9.9%","±0.4"
"        Not computed","34,921","±1,549","(X)","(X)","7,201","±762","(X)","(X)"
"GROSS RENT","","","","","","","",""
"    Occupied units paying rent","3,557,982","±17,328","3,557,982","(X)","908,326","±8,223","908,326","(X)"
"        Less than $500","219,232","±3,625","6.2%","±0.1","33,270","±1,499","3.7%","±0.2"
"        $500 to $999","1,302,054","±10,328","36.6%","±0.3","305,298","±5,362","33.6%","±0.5"
"        $1,000 to $1,499","1,297,965","±10,970","36.5%","±0.3","350,865","±5,808","38.6%","±0.6"
"        $1,500 to $1,999","512,901","±7,786","14.4%","±0.2","152,412","±4,243","16.8%","±0.4"
"        $2,000 to $2,499","148,376","±4,060","4.2%","±0.1","41,656","±2,273","4.6%","±0.2"
"        $2,500 to $2,999","42,614","±2,067","1.2%","±0.1","13,160","±1,023","1.4%","±0.1"
"        $3,000 or more","34,840","±1,775","1.0%","±0.1","11,665","±1,207","1.3%","±0.1"
"        Median (dollars)","1,082","±3","(X)","(X)","1,136","±5","(X)","(X)"
"        No rent paid","179,280","±3,577","(X)","(X)","33,054","±1,929","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","3,479,513","±17,394","3,479,513","(X)","887,713","±8,190","887,713","(X)"
"        Less than 15.0 percent","453,216","±6,992","13.0%","±0.2","111,060","±3,247","12.5%","±0.4"
"        15.0 to 19.9 percent","471,676","±6,161","13.6%","±0.2","116,094","±3,634","13.1%","±0.4"
"        20.0 to 24.9 percent","473,092","±8,485","13.6%","±0.2","115,709","±3,595","13.0%","±0.4"
"        25.0 to 29.9 percent","411,794","±5,968","11.8%","±0.2","106,464","±2,831","12.0%","±0.3"
"        30.0 to 34.9 percent","320,088","±5,193","9.2%","±0.1","80,215","±3,253","9.0%","±0.4"
"        35.0 percent or more","1,349,647","±10,838","38.8%","±0.2","358,171","±6,078","40.3%","±0.6"
"        Not computed","257,749","±4,454","(X)","(X)","53,667","±2,281","(X)","(X)"
