"Label (Grouping)","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Percent!!Estimate","Texas!!Percent!!Margin of Error","Texas!!Male!!Estimate","Texas!!Male!!Margin of Error","Texas!!Percent Male!!Estimate","Texas!!Percent Male!!Margin of Error","Texas!!Female!!Estimate","Texas!!Female!!Margin of Error","Texas!!Percent Female!!Estimate","Texas!!Percent Female!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Male!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Male!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Male!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Male!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Female!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Female!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Female!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent Female!!Margin of Error"
"        Bachelor's degree","3,671,085","±20,704","19.9%","±0.1","1,739,411","±12,439","19.3%","±0.1","1,931,674","±13,345","20.5%","±0.1","957,094","±10,194","21.3%","±0.2","454,920","±6,382","20.7%","±0.3","502,174","±7,156","21.9%","±0.3"
"        Graduate or professional degree","1,991,093","±18,578","10.8%","±0.1","975,609","±10,250","10.8%","±0.1","1,015,484","±11,536","10.8%","±0.1","551,530","±8,457","12.3%","±0.2","272,166","±5,149","12.4%","±0.2","279,364","±5,422","12.2%","±0.2"
"        High school graduate or higher","15,565,117","±20,844","84.4%","±0.1","7,538,780","±12,168","83.7%","±0.1","8,026,337","±12,341","85.0%","±0.1","3,786,059","±8,422","84.3%","±0.2","1,826,171","±5,545","83.2%","±0.3","1,959,888","±4,876","85.3%","±0.2"
"        Bachelor's degree or higher","5,662,178","±30,233","30.7%","±0.2","2,715,020","±16,413","30.1%","±0.2","2,947,158","±17,245","31.2%","±0.2","1,508,624","±12,308","33.6%","±0.3","727,086","±7,363","33.1%","±0.3","781,538","±8,113","34.0%","±0.4"
"    Population 25 to 34 years","4,210,488","±2,871","(X)","(X)","2,141,299","±2,343","(X)","(X)","2,069,189","±2,053","(X)","(X)","1,048,439","±933","(X)","(X)","526,391","±626","(X)","(X)","522,048","±605","(X)","(X)"
"        High school graduate or higher","3,751,258","±8,566","89.1%","±0.2","1,873,155","±6,049","87.5%","±0.3","1,878,103","±4,888","90.8%","±0.2","929,499","±4,064","88.7%","±0.4","457,112","±2,767","86.8%","±0.5","472,387","±2,290","90.5%","±0.4"
"        Bachelor's degree or higher","1,353,535","±11,350","32.1%","±0.3","610,093","±7,024","28.5%","±0.3","743,442","±7,429","35.9%","±0.4","365,861","±5,386","34.9%","±0.5","163,066","±3,451","31.0%","±0.7","202,795","±3,964","38.8%","±0.8"
"    Population 35 to 44 years","3,888,044","±2,712","(X)","(X)","1,949,519","±2,002","(X)","(X)","1,938,525","±1,667","(X)","(X)","996,050","±715","(X)","(X)","497,628","±441","(X)","(X)","498,422","±457","(X)","(X)"
"        High school graduate or higher","3,298,482","±7,767","84.8%","±0.2","1,626,289","±5,349","83.4%","±0.3","1,672,193","±4,781","86.3%","±0.2","838,851","±4,453","84.2%","±0.4","410,181","±2,914","82.4%","±0.6","428,670","±2,585","86.0%","±0.5"
"        Bachelor's degree or higher","1,308,154","±12,039","33.6%","±0.3","593,902","±7,064","30.5%","±0.4","714,252","±6,925","36.8%","±0.4","363,182","±5,958","36.5%","±0.6","166,650","±3,988","33.5%","±0.8","196,532","±3,824","39.4%","±0.8"
"    Population 45 to 64 years","6,757,950","±3,166","(X)","(X)","3,317,204","±2,353","(X)","(X)","3,440,746","±1,772","(X)","(X)","1,669,790","±698","(X)","(X)","821,553","±409","(X)","(X)","848,237","±522","(X)","(X)"
"        High school graduate or higher","5,634,898","±10,253","83.4%","±0.1","2,734,628","±6,199","82.4%","±0.2","2,900,270","±6,752","84.3%","±0.2","1,383,227","±5,308","82.8%","±0.3","670,765","±3,305","81.6%","±0.4","712,462","±3,433","84.0%","±0.4"
"        Bachelor's degree or higher","2,018,597","±13,321","29.9%","±0.2","979,851","±7,683","29.5%","±0.2","1,038,746","±8,379","30.2%","±0.2","540,186","±6,463","32.4%","±0.4","267,548","±4,017","32.6%","±0.5","272,638","±4,613","32.1%","±0.5"
"    Population 65 years and over","3,593,369","±1,246","(X)","(X)","1,603,567","±1,065","(X)","(X)","1,989,802","±933","(X)","(X)","776,974","±340","(X)","(X)","348,402","±268","(X)","(X)","428,572","±242","(X)","(X)"
"        High school graduate or higher","2,880,479","±6,313","80.2%","±0.2","1,304,708","±4,067","81.4%","±0.3","1,575,771","±4,298","79.2%","±0.2","634,482","±3,168","81.7%","±0.4","288,113","±1,966","82.7%","±0.6","346,369","±2,205","80.8%","±0.5"
"        Bachelor's degree or higher","981,892","±6,792","27.3%","±0.2","531,174","±4,433","33.1%","±0.3","450,718","±4,249","22.7%","±0.2","239,395","±4,094","30.8%","±0.5","129,822","±2,538","37.3%","±0.7","109,573","±2,626","25.6%","±0.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","13,049,417","±14,014","(X)","(X)","6,390,971","±8,202","(X)","(X)","6,658,446","±8,620","(X)","(X)","2,758,199","±7,243","(X)","(X)","1,364,647","±4,290","(X)","(X)","1,393,552","±4,337","(X)","(X)"
"        High school graduate or higher","11,164,608","±19,204","85.6%","±0.1","5,429,364","±11,602","85.0%","±0.1","5,735,244","±11,554","86.1%","±0.1","2,351,279","±7,163","85.2%","±0.2","1,151,840","±4,344","84.4%","±0.2","1,199,439","±4,622","86.1%","±0.3"
"        Bachelor's degree or higher","4,110,797","±24,882","31.5%","±0.2","2,000,976","±13,899","31.3%","±0.2","2,109,821","±14,435","31.7%","±0.2","959,406","±9,540","34.8%","±0.3","479,222","±5,494","35.1%","±0.4","480,184","±6,267","34.5%","±0.4"
"    White alone, not Hispanic or Latino","8,602,436","±3,981","(X)","(X)","4,202,174","±2,541","(X)","(X)","4,400,262","±2,185","(X)","(X)","1,801,851","±2,010","(X)","(X)","885,192","±1,135","(X)","(X)","916,659","±1,237","(X)","(X)"
"        High school graduate or higher","8,107,982","±7,984","94.3%","±0.1","3,955,365","±5,094","94.1%","±0.1","4,152,617","±5,169","94.4%","±0.1","1,717,605","±3,421","95.3%","±0.2","843,412","±2,128","95.3%","±0.2","874,193","±2,089","95.4%","±0.2"
"        Bachelor's degree or higher","3,386,199","±18,174","39.4%","±0.2","1,676,655","±11,022","39.9%","±0.3","1,709,544","±10,959","38.9%","±0.2","803,535","±7,009","44.6%","±0.4","408,543","±4,303","46.2%","±0.5","394,992","±4,973","43.1%","±0.5"
"    Black alone","2,200,749","±4,269","(X)","(X)","1,032,236","±3,228","(X)","(X)","1,168,513","±2,952","(X)","(X)","763,508","±2,890","(X)","(X)","347,396","±1,846","(X)","(X)","416,112","±1,890","(X)","(X)"
"        High school graduate or higher","1,984,877","±5,162","90.2%","±0.2","919,820","±3,621","89.1%","±0.3","1,065,057","±4,020","91.1%","±0.2","697,882","±3,777","91.4%","±0.4","313,342","±2,422","90.2%","±0.6","384,540","±2,247","92.4%","±0.4"
"        Bachelor's degree or higher","563,381","±6,907","25.6%","±0.3","235,177","±4,660","22.8%","±0.4","328,204","±4,964","28.1%","±0.4","220,895","±4,912","28.9%","±0.6","90,406","±3,225","26.0%","±0.9","130,489","±3,593","31.4%","±0.9"
"    American Indian or Alaska Native alone","88,648","±2,947","(X)","(X)","45,402","±1,885","(X)","(X)","43,246","±1,520","(X)","(X)","19,499","±1,309","(X)","(X)","9,560","±842","(X)","(X)","9,939","±793","(X)","(X)"
"        High school graduate or higher","71,128","±2,354","80.2%","±1.2","36,077","±1,544","79.5%","±1.7","35,051","±1,255","81.1%","±1.3","15,212","±1,049","78.0%","±2.8","7,340","±714","76.8%","±4.2","7,872","±696","79.2%","±3.3"
"        Bachelor's degree or higher","18,599","±1,149","21.0%","±1.1","9,072","±800","20.0%","±1.5","9,527","±688","22.0%","±1.4","4,018","±590","20.6%","±2.7","1,492","±339","15.6%","±3.3","2,526","±462","25.4%","±4.1"
"    Asian alone","968,195","±3,316","(X)","(X)","458,030","±1,982","(X)","(X)","510,165","±2,170","(X)","(X)","385,193","±2,230","(X)","(X)","181,547","±1,220","(X)","(X)","203,646","±1,468","(X)","(X)"
"        High school graduate or higher","851,398","±4,747","87.9%","±0.4","411,763","±2,785","89.9%","±0.5","439,635","±2,989","86.2%","±0.5","335,934","±3,168","87.2%","±0.6","160,944","±1,872","88.7%","±0.7","174,990","±1,996","85.9%","±0.7"
"        Bachelor's degree or higher","574,509","±5,956","59.3%","±0.6","286,227","±3,818","62.5%","±0.8","288,282","±3,443","56.5%","±0.6","218,841","±3,688","56.8%","±1.0","106,532","±2,665","58.7%","±1.4","112,309","±2,006","55.1%","±1.0"
"    Native Hawaiian and Other Pacific Islander alone","16,230","±830","(X)","(X)","7,382","±597","(X)","(X)","8,848","±533","(X)","(X)","2,102","±341","(X)","(X)","857","±189","(X)","(X)","1,245","±250","(X)","(X)"
"        High school graduate or higher","14,540","±811","89.6%","±2.5","6,740","±597","91.3%","±3.2","7,800","±529","88.2%","±3.0","1,712","±308","81.4%","±7.3","745","±167","86.9%","±8.2","967","±238","77.7%","±10.4"
"        Bachelor's degree or higher","3,628","±484","22.4%","±2.7","1,366","±289","18.5%","±3.4","2,262","±385","25.6%","±3.9","361","±162","17.2%","±7.0","89","±70","10.4%","±7.9","272","±140","21.8%","±9.9"
"    Some other race alone","1,084,643","±12,537","(X)","(X)","563,206","±7,579","(X)","(X)","521,437","±7,071","(X)","(X)","313,028","±5,850","(X)","(X)","165,780","±3,666","(X)","(X)","147,248","±3,441","(X)","(X)"
"        High school graduate or higher","665,958","±9,284","61.4%","±0.5","340,001","±6,185","60.4%","±0.6","325,957","±4,908","62.5%","±0.6","190,492","±5,276","60.9%","±1.1","98,310","±3,532","59.3%","±1.5","92,182","±2,795","62.6%","±1.2"
"        Bachelor's degree or higher","131,641","±3,923","12.1%","±0.3","63,058","±2,254","11.2%","±0.4","68,583","±2,631","13.2%","±0.5","37,087","±2,237","11.8%","±0.7","17,488","±1,294","10.5%","±0.8","19,599","±1,621","13.3%","±1.0"
"    Two or more races","1,041,969","±12,519","(X)","(X)","514,362","±7,608","(X)","(X)","527,607","±7,256","(X)","(X)","249,724","±7,393","(X)","(X)","124,187","±4,418","(X)","(X)","125,537","±4,110","(X)","(X)"
"        High school graduate or higher","812,608","±11,162","78.0%","±0.6","395,015","±6,588","76.8%","±0.8","417,593","±6,796","79.1%","±0.9","193,548","±5,966","77.5%","±1.4","93,650","±3,725","75.4%","±1.8","99,898","±3,716","79.6%","±1.7"
"        Bachelor's degree or higher","259,623","±7,224","24.9%","±0.7","119,144","±4,624","23.2%","±0.8","140,479","±4,406","26.6%","±0.8","68,016","±3,943","27.2%","±1.5","31,857","±2,318","25.7%","±1.7","36,159","±2,723","28.8%","±2.0"
"    Hispanic or Latino Origin","6,365,793","±1,148","(X)","(X)","3,168,633","±826","(X)","(X)","3,197,160","±1,075","(X)","(X)","1,470,709","±333","(X)","(X)","747,000","±250","(X)","(X)","723,709","±228","(X)","(X)"
"        High school graduate or higher","4,329,391","±15,988","68.0%","±0.3","2,111,437","±9,047","66.6%","±0.3","2,217,954","±9,420","69.4%","±0.3","968,724","±6,589","65.9%","±0.4","477,582","±4,542","63.9%","±0.6","491,142","±3,556","67.9%","±0.5"
"        Bachelor's degree or higher","1,020,587","±12,787","16.0%","±0.2","460,435","±6,893","14.5%","±0.2","560,152","±8,432","17.5%","±0.3","235,668","±5,669","16.0%","±0.4","107,030","±3,576","14.3%","±0.5","128,638","±3,619","17.8%","±0.5"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","23.9%","±0.3","(X)","(X)","19.7%","±0.3","(X)","(X)","28.2%","±0.4","(X)","(X)","22.6%","±0.6","(X)","(X)","18.3%","±0.7","(X)","(X)","27.1%","±0.8"
"    High school graduate (includes equivalency)","(X)","(X)","13.8%","±0.2","(X)","(X)","11.1%","±0.2","(X)","(X)","16.3%","±0.2","(X)","(X)","13.9%","±0.4","(X)","(X)","11.2%","±0.5","(X)","(X)","16.5%","±0.5"
"    Some college or associate's degree","(X)","(X)","9.1%","±0.1","(X)","(X)","6.9%","±0.2","(X)","(X)","10.9%","±0.2","(X)","(X)","9.0%","±0.3","(X)","(X)","6.8%","±0.4","(X)","(X)","11.0%","±0.5"
"    Bachelor's degree or higher","(X)","(X)","4.2%","±0.1","(X)","(X)","3.8%","±0.1","(X)","(X)","4.6%","±0.1","(X)","(X)","4.4%","±0.2","(X)","(X)","3.9%","±0.2","(X)","(X)","4.9%","±0.3"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,969","±112","(X)","(X)","48,094","±272","(X)","(X)","33,539","±148","(X)","(X)","43,635","±325","(X)","(X)","51,354","±312","(X)","(X)","35,776","±317","(X)","(X)"
"        Less than high school graduate","24,886","±234","(X)","(X)","30,200","±177","(X)","(X)","17,055","±173","(X)","(X)","25,387","±328","(X)","(X)","30,374","±358","(X)","(X)","17,158","±309","(X)","(X)"
"        High school graduate (includes equivalency)","31,204","±114","(X)","(X)","37,358","±266","(X)","(X)","24,432","±228","(X)","(X)","31,693","±302","(X)","(X)","38,953","±934","(X)","(X)","24,816","±572","(X)","(X)"
"        Some college or associate's degree","38,596","±197","(X)","(X)","47,438","±333","(X)","(X)","31,848","±136","(X)","(X)","40,987","±351","(X)","(X)","51,128","±450","(X)","(X)","33,121","±512","(X)","(X)"
"        Bachelor's degree","57,267","±203","(X)","(X)","70,869","±429","(X)","(X)","50,437","±193","(X)","(X)","62,024","±466","(X)","(X)","78,573","±1,922","(X)","(X)","53,742","±450","(X)","(X)"
"        Graduate or professional degree","73,082","±613","(X)","(X)","93,749","±1,043","(X)","(X)","61,327","±370","(X)","(X)","78,825","±1,736","(X)","(X)","104,051","±2,249","(X)","(X)","64,865","±1,068","(X)","(X)"
