"Label (Grouping)","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Labor Force Participation Rate!!Estimate","Texas!!Labor Force Participation Rate!!Margin of Error","Texas!!Employment/Population Ratio!!Estimate","Texas!!Employment/Population Ratio!!Margin of Error","Texas!!Unemployment rate!!Estimate","Texas!!Unemployment rate!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Total!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Labor Force Participation Rate!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Labor Force Participation Rate!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Employment/Population Ratio!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Employment/Population Ratio!!Margin of Error","Houston-The Woodlands-Sugar Land, TX Metro Area!!Unemployment rate!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Unemployment rate!!Margin of Error"
"        65 to 74 years","2,166,863","±1,475","28.4%","±0.3","27.4%","±0.3","3.7%","±0.2","489,573","±561","29.5%","±0.6","28.0%","±0.6","5.2%","±0.5"
"        75 years and over","1,426,506","±1,266","7.8%","±0.2","7.5%","±0.2","3.4%","±0.5","287,401","±483","8.7%","±0.5","8.4%","±0.5","3.5%","±1.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","",""
"        White alone","15,475,150","±17,891","64.1%","±0.1","60.7%","±0.1","4.7%","±0.1","3,238,987","±9,702","65.9%","±0.2","62.5%","±0.3","5.0%","±0.2"
"        Black or African American alone","2,674,556","±5,535","66.2%","±0.3","60.2%","±0.3","8.1%","±0.2","922,028","±3,585","67.6%","±0.6","61.2%","±0.6","9.3%","±0.4"
"        American Indian and Alaska Native alone","109,115","±3,424","65.5%","±1.0","61.1%","±1.0","6.0%","±0.7","23,403","±1,691","69.6%","±2.8","64.9%","±2.8","6.6%","±1.8"
"        Asian alone","1,121,803","±4,369","66.7%","±0.4","63.7%","±0.4","4.1%","±0.2","439,962","±2,919","65.5%","±0.6","62.5%","±0.6","4.5%","±0.4"
"        Native Hawaiian and Other Pacific Islander alone","20,142","±976","66.3%","±3.2","61.0%","±3.3","4.1%","±1.5","2,732","±366","62.1%","±7.6","57.7%","±8.0","5.2%","±3.8"
"        Some other race alone","1,341,535","±15,676","67.1%","±0.4","63.3%","±0.4","5.5%","±0.2","387,514","±7,326","68.7%","±0.8","65.0%","±0.8","5.5%","±0.4"
"        Two or more races","1,335,789","±15,776","66.7%","±0.5","61.4%","±0.5","7.2%","±0.4","314,110","±8,993","69.2%","±1.1","64.2%","±1.1","7.2%","±0.7"
"        Hispanic or Latino origin (of any race)","8,063,662","±3,383","66.5%","±0.1","62.5%","±0.2","5.6%","±0.1","1,849,761","±1,663","68.8%","±0.3","64.8%","±0.4","5.8%","±0.2"
"        White alone, not Hispanic or Latino","9,821,536","±5,040","62.8%","±0.1","59.6%","±0.1","4.3%","±0.1","2,031,730","±2,808","64.2%","±0.3","61.1%","±0.3","4.7%","±0.2"
"Population 20 to 64 years","16,857,365","±3,161","77.3%","±0.1","73.0%","±0.1","4.9%","±0.1","4,168,934","±846","78.1%","±0.2","73.7%","±0.2","5.5%","±0.1"
"    SEX","","","","","","","","","","","","","","","",""
"        Male","8,438,171","±2,417","83.8%","±0.1","79.0%","±0.1","4.8%","±0.1","2,076,077","±531","86.4%","±0.3","81.6%","±0.3","5.3%","±0.2"
"        Female","8,419,194","±2,217","70.7%","±0.2","66.9%","±0.2","5.0%","±0.1","2,092,857","±571","69.8%","±0.3","65.9%","±0.3","5.6%","±0.2"
"            With own children under 18 years","3,273,446","±15,583","69.7%","±0.3","66.0%","±0.3","5.1%","±0.2","833,633","±7,036","68.0%","±0.6","64.0%","±0.6","5.8%","±0.3"
"                With own children under 6 years only","708,921","±10,641","66.9%","±0.5","62.7%","±0.5","5.9%","±0.4","183,382","±5,266","65.0%","±1.3","60.5%","±1.3","6.7%","±0.8"
"                With own children under 6 years and 6 to 17  years","711,283","±6,779","61.0%","±0.5","57.0%","±0.6","6.3%","±0.4","175,086","±3,531","58.0%","±1.2","53.6%","±1.3","7.5%","±1.0"
"                With own children 6 to 17 years only","1,853,242","±11,876","74.1%","±0.4","70.8%","±0.3","4.4%","±0.2","475,165","±6,171","72.8%","±0.7","69.1%","±0.8","5.0%","±0.4"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","",""
"        Below poverty level","2,005,411","±19,210","50.8%","±0.4","42.3%","±0.4","16.7%","±0.4","467,692","±9,494","51.6%","±0.8","42.2%","±0.7","18.3%","±0.8"
"        At or above the poverty level","14,502,045","±19,746","82.4%","±0.1","78.8%","±0.1","3.9%","±0.1","3,652,957","±9,474","82.4%","±0.2","78.6%","±0.2","4.4%","±0.1"
"    DISABILITY STATUS","","","","","","","","","","","","","","","",""
"        With any disability","1,586,858","±12,139","46.7%","±0.4","41.7%","±0.4","10.3%","±0.4","324,994","±5,743","47.8%","±0.9","42.1%","±0.9","11.8%","±0.7"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","14,856,482","±2,857","77.8%","±0.1","74.1%","±0.1","4.3%","±0.1","3,714,279","±729","78.7%","±0.2","74.8%","±0.3","4.8%","±0.1"
"        Less than high school graduate","2,171,844","±16,987","64.9%","±0.3","61.2%","±0.4","5.7%","±0.2","562,702","±7,695","68.5%","±0.5","64.6%","±0.5","5.6%","±0.4"
"        High school graduate (includes equivalency)","3,627,667","±19,612","72.5%","±0.2","68.4%","±0.2","5.4%","±0.1","836,737","±8,821","73.2%","±0.5","68.7%","±0.6","6.0%","±0.3"
"        Some college or associate's degree","4,376,685","±13,313","79.7%","±0.2","75.5%","±0.2","4.5%","±0.1","1,045,611","±10,019","80.1%","±0.4","75.7%","±0.4","5.4%","±0.3"
"        Bachelor's degree or higher","4,680,286","±27,221","86.0%","±0.2","83.0%","±0.2","2.9%","±0.1","1,269,229","±11,184","85.7%","±0.4","82.5%","±0.4","3.5%","±0.2"
