"Label (Grouping)","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Estimate","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Margin of Error","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent","Chicago-Naperville-Elgin, IL-IN-WI Metro Area!!Percent Margin of Error"
"        Moved in 2000 to 2009","1,114,618","±8,079","22.8%","±0.2","821,655","±6,683","23.2%","±0.2"
"        Moved in 1990 to 1999","643,086","±5,369","13.2%","±0.1","462,681","±4,950","13.0%","±0.1"
"        Moved in 1989 and earlier","657,037","±5,425","13.5%","±0.1","447,864","±4,963","12.6%","±0.1"
"VEHICLES AVAILABLE","","","","","","","",""
"    Occupied housing units","4,884,061","±8,585","4,884,061","(X)","3,548,735","±5,885","3,548,735","(X)"
"        No vehicles available","524,625","±5,134","10.7%","±0.1","424,827","±4,733","12.0%","±0.1"
"        1 vehicle available","1,683,939","±8,832","34.5%","±0.2","1,244,961","±8,421","35.1%","±0.2"
"        2 vehicles available","1,765,879","±10,282","36.2%","±0.2","1,255,981","±8,690","35.4%","±0.2"
"        3 or more vehicles available","909,618","±5,988","18.6%","±0.1","622,966","±5,338","17.6%","±0.2"
"HOUSE HEATING FUEL","","","","","","","",""
"    Occupied housing units","4,884,061","±8,585","4,884,061","(X)","3,548,735","±5,885","3,548,735","(X)"
"        Utility gas","3,755,954","±9,240","76.9%","±0.1","2,973,297","±7,240","83.8%","±0.2"
"        Bottled, tank, or LP gas","204,935","±2,552","4.2%","±0.1","56,119","±1,865","1.6%","±0.1"
"        Electricity","835,086","±5,916","17.1%","±0.1","463,010","±4,937","13.0%","±0.1"
"        Fuel oil, kerosene, etc.","6,467","±551","0.1%","±0.1","3,838","±585","0.1%","±0.1"
"        Coal or coke","931","±206","0.0%","±0.1","506","±162","0.0%","±0.1"
"        Wood","20,119","±895","0.4%","±0.1","3,807","±602","0.1%","±0.1"
"        Solar energy","1,113","±188","0.0%","±0.1","802","±222","0.0%","±0.1"
"        Other fuel","24,747","±1,392","0.5%","±0.1","18,594","±1,176","0.5%","±0.1"
"        No fuel used","34,709","±1,653","0.7%","±0.1","28,762","±1,448","0.8%","±0.1"
"SELECTED CHARACTERISTICS","","","","","","","",""
"    Occupied housing units","4,884,061","±8,585","4,884,061","(X)","3,548,735","±5,885","3,548,735","(X)"
"        Lacking complete plumbing facilities","13,785","±1,012","0.3%","±0.1","9,975","±1,018","0.3%","±0.1"
"        Lacking complete kitchen facilities","38,233","±1,354","0.8%","±0.1","25,242","±1,216","0.7%","±0.1"
"        No telephone service available","80,351","±2,218","1.6%","±0.1","52,256","±1,526","1.5%","±0.1"
"OCCUPANTS PER ROOM","","","","","","","",""
"    Occupied housing units","4,884,061","±8,585","4,884,061","(X)","3,548,735","±5,885","3,548,735","(X)"
"        1.00 or less","4,767,634","±9,683","97.6%","±0.1","3,452,040","±6,814","97.3%","±0.1"
"        1.01 to 1.50","79,259","±2,232","1.6%","±0.1","67,254","±2,063","1.9%","±0.1"
"        1.51 or more","37,168","±1,590","0.8%","±0.1","29,441","±1,440","0.8%","±0.1"
"VALUE","","","","","","","",""
"    Owner-occupied units","3,237,778","±15,169","3,237,778","(X)","2,299,451","±11,558","2,299,451","(X)"
"        Less than $50,000","196,149","±3,003","6.1%","±0.1","75,072","±2,233","3.3%","±0.1"
"        $50,000 to $99,999","432,566","±4,948","13.4%","±0.1","143,364","±2,664","6.2%","±0.1"
"        $100,000 to $149,999","467,538","±5,213","14.4%","±0.1","260,361","±4,028","11.3%","±0.2"
"        $150,000 to $199,999","506,232","±5,522","15.6%","±0.1","367,254","±4,989","16.0%","±0.2"
"        $200,000 to $299,999","720,797","±5,953","22.3%","±0.2","602,162","±5,843","26.2%","±0.2"
"        $300,000 to $499,999","608,318","±5,687","18.8%","±0.2","559,339","±5,630","24.3%","±0.2"
"        $500,000 to $999,999","246,949","±3,615","7.6%","±0.1","235,616","±3,247","10.2%","±0.1"
"        $1,000,000 or more","59,229","±1,674","1.8%","±0.1","56,283","±1,642","2.4%","±0.1"
"        Median (dollars)","202,100","±886","(X)","(X)","247,400","±797","(X)","(X)"
"MORTGAGE STATUS","","","","","","","",""
"    Owner-occupied units","3,237,778","±15,169","3,237,778","(X)","2,299,451","±11,558","2,299,451","(X)"
"        Housing units with a mortgage","2,032,796","±11,887","62.8%","±0.2","1,524,066","±9,372","66.3%","±0.2"
"        Housing units without a mortgage","1,204,982","±7,832","37.2%","±0.2","775,385","±6,972","33.7%","±0.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","",""
"    Housing units with a mortgage","2,032,796","±11,887","2,032,796","(X)","1,524,066","±9,372","1,524,066","(X)"
"        Less than $500","17,459","±929","0.9%","±0.1","6,807","±1,064","0.4%","±0.1"
"        $500 to $999","292,735","±4,202","14.4%","±0.2","114,410","±2,784","7.5%","±0.2"
"        $1,000 to $1,499","501,735","±5,472","24.7%","±0.2","333,102","±4,025","21.9%","±0.3"
"        $1,500 to $1,999","458,065","±6,025","22.5%","±0.3","374,433","±5,466","24.6%","±0.3"
"        $2,000 to $2,499","312,247","±4,233","15.4%","±0.2","276,718","±4,170","18.2%","±0.3"
"        $2,500 to $2,999","183,095","±3,182","9.0%","±0.2","166,244","±2,879","10.9%","±0.2"
"        $3,000 or more","267,460","±3,462","13.2%","±0.2","252,352","±3,398","16.6%","±0.2"
"        Median (dollars)","1,709","±5","(X)","(X)","1,907","±6","(X)","(X)"
"    Housing units without a mortgage","1,204,982","±7,832","1,204,982","(X)","775,385","±6,972","775,385","(X)"
"        Less than $250","67,704","±1,820","5.6%","±0.1","25,535","±1,321","3.3%","±0.2"
"        $250 to $399","163,630","±2,312","13.6%","±0.2","61,815","±1,821","8.0%","±0.2"
"        $400 to $599","299,816","±4,207","24.9%","±0.3","158,982","±3,319","20.5%","±0.4"
"        $600 to $799","269,882","±3,747","22.4%","±0.3","187,494","±3,271","24.2%","±0.4"
"        $800 to $999","171,763","±3,163","14.3%","±0.2","135,197","±2,931","17.4%","±0.3"
"        $1,000 or more","232,187","±3,637","19.3%","±0.3","206,362","±3,451","26.6%","±0.4"
"        Median (dollars)","650","±3","(X)","(X)","750","±3","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","2,023,476","±11,997","2,023,476","(X)","1,517,265","±9,476","1,517,265","(X)"
"        Less than 20.0 percent","948,567","±8,323","46.9%","±0.3","660,481","±6,375","43.5%","±0.3"
"        20.0 to 24.9 percent","322,713","±4,226","15.9%","±0.2","245,203","±3,410","16.2%","±0.2"
"        25.0 to 29.9 percent","211,543","±3,442","10.5%","±0.2","168,934","±3,358","11.1%","±0.2"
"        30.0 to 34.9 percent","132,374","±2,791","6.5%","±0.1","106,113","±2,582","7.0%","±0.2"
"        35.0 percent or more","408,279","±4,675","20.2%","±0.2","336,534","±4,283","22.2%","±0.3"
"        Not computed","9,320","±701","(X)","(X)","6,801","±581","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","1,189,579","±7,796","1,189,579","(X)","765,782","±6,884","765,782","(X)"
"        Less than 10.0 percent","465,824","±4,249","39.2%","±0.3","276,542","±3,731","36.1%","±0.4"
"        10.0 to 14.9 percent","251,591","±3,440","21.1%","±0.3","159,126","±2,992","20.8%","±0.3"
"        15.0 to 19.9 percent","143,181","±2,490","12.0%","±0.2","91,668","±2,057","12.0%","±0.2"
"        20.0 to 24.9 percent","86,864","±2,147","7.3%","±0.2","59,785","±1,714","7.8%","±0.2"
"        25.0 to 29.9 percent","58,495","±1,854","4.9%","±0.1","40,531","±1,643","5.3%","±0.2"
"        30.0 to 34.9 percent","38,690","±1,392","3.3%","±0.1","28,639","±1,202","3.7%","±0.2"
"        35.0 percent or more","144,934","±2,884","12.2%","±0.2","109,491","±2,579","14.3%","±0.3"
"        Not computed","15,403","±1,060","(X)","(X)","9,603","±999","(X)","(X)"
"GROSS RENT","","","","","","","",""
"    Occupied units paying rent","1,578,115","±9,626","1,578,115","(X)","1,207,231","±8,709","1,207,231","(X)"
"        Less than $500","158,683","±2,693","10.1%","±0.2","88,660","±2,175","7.3%","±0.2"
"        $500 to $999","586,308","±5,622","37.2%","±0.3","359,088","±4,876","29.7%","±0.3"
"        $1,000 to $1,499","479,109","±5,128","30.4%","±0.3","423,183","±4,852","35.1%","±0.3"
"        $1,500 to $1,999","214,021","±3,059","13.6%","±0.2","203,955","±3,075","16.9%","±0.2"
"        $2,000 to $2,499","82,989","±2,559","5.3%","±0.2","79,130","±2,573","6.6%","±0.2"
"        $2,500 to $2,999","30,670","±1,714","1.9%","±0.1","29,370","±1,666","2.4%","±0.1"
"        $3,000 or more","26,335","±1,240","1.7%","±0.1","23,845","±1,233","2.0%","±0.1"
"        Median (dollars)","1,038","±4","(X)","(X)","1,155","±4","(X)","(X)"
"        No rent paid","68,168","±2,285","(X)","(X)","42,053","±1,836","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,532,067","±9,335","1,532,067","(X)","1,173,801","±8,652","1,173,801","(X)"
"        Less than 15.0 percent","223,197","±4,375","14.6%","±0.3","158,956","±3,917","13.5%","±0.3"
"        15.0 to 19.9 percent","212,520","±3,591","13.9%","±0.2","163,602","±3,213","13.9%","±0.3"
"        20.0 to 24.9 percent","203,190","±3,894","13.3%","±0.2","157,554","±3,611","13.4%","±0.3"
"        25.0 to 29.9 percent","173,807","±3,505","11.3%","±0.2","136,899","±3,130","11.7%","±0.3"
"        30.0 to 34.9 percent","134,257","±3,411","8.8%","±0.2","102,670","±2,967","8.7%","±0.2"
"        35.0 percent or more","585,096","±5,677","38.2%","±0.3","454,120","±5,124","38.7%","±0.3"
"        Not computed","114,216","±2,896","(X)","(X)","75,483","±2,478","(X)","(X)"
