"Label (Grouping)","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Labor Force Participation Rate!!Estimate","Pennsylvania!!Labor Force Participation Rate!!Margin of Error","Pennsylvania!!Employment/Population Ratio!!Estimate","Pennsylvania!!Employment/Population Ratio!!Margin of Error","Pennsylvania!!Unemployment rate!!Estimate","Pennsylvania!!Unemployment rate!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Labor Force Participation Rate!!Estimate","Philadelphia city, Pennsylvania!!Labor Force Participation Rate!!Margin of Error","Philadelphia city, Pennsylvania!!Employment/Population Ratio!!Estimate","Philadelphia city, Pennsylvania!!Employment/Population Ratio!!Margin of Error","Philadelphia city, Pennsylvania!!Unemployment rate!!Estimate","Philadelphia city, Pennsylvania!!Unemployment rate!!Margin of Error"
"        75 years and over","1,017,250","±607","7.1%","±0.2","6.8%","±0.2","4.3%","±0.7","92,438","±142","6.9%","±0.8","6.4%","±0.7","7.7%","±3.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","",""
"        White alone","8,484,016","±7,201","62.9%","±0.1","60.0%","±0.1","4.5%","±0.1","533,754","±3,241","64.9%","±0.5","61.0%","±0.6","6.0%","±0.4"
"        Black or African American alone","1,101,155","±3,990","60.7%","±0.4","54.0%","±0.4","10.9%","±0.4","510,166","±2,826","59.0%","±0.7","51.6%","±0.7","12.5%","±0.7"
"        American Indian and Alaska Native alone","16,392","±994","56.7%","±2.7","50.6%","±2.7","10.7%","±2.3","4,052","±527","51.8%","±5.6","42.8%","±6.0","17.3%","±6.9"
"        Asian alone","363,085","±1,900","64.8%","±0.6","61.9%","±0.6","4.5%","±0.3","97,221","±786","60.9%","±1.3","57.7%","±1.3","5.3%","±0.6"
"        Native Hawaiian and Other Pacific Islander alone","3,590","±435","59.5%","±6.3","57.0%","±6.0","4.3%","±3.7","530","±153","57.4%","±15.8","57.4%","±15.8","0.0%","±8.6"
"        Some other race alone","232,039","±6,693","59.7%","±1.3","54.7%","±1.3","8.3%","±0.8","83,516","±3,818","54.3%","±2.1","48.9%","±2.1","9.9%","±1.5"
"        Two or more races","255,772","±6,081","68.0%","±1.0","61.9%","±1.0","8.8%","±0.7","42,915","±3,201","66.9%","±3.2","60.9%","±3.3","8.9%","±2.0"
"        Hispanic or Latino origin (of any race)","672,893","±763","65.4%","±0.6","59.7%","±0.6","8.5%","±0.4","166,621","±443","60.6%","±1.3","54.3%","±1.3","10.3%","±1.1"
"        White alone, not Hispanic or Latino","8,155,966","±5,439","62.8%","±0.1","60.0%","±0.1","4.4%","±0.1","475,618","±1,255","65.2%","±0.5","61.6%","±0.5","5.5%","±0.4"
"Population 20 to 64 years","7,466,746","±1,125","78.5%","±0.1","74.5%","±0.2","5.0%","±0.1","976,481","±82","74.2%","±0.5","68.1%","±0.6","8.2%","±0.4"
"    SEX","","","","","","","","","","","","","","","",""
"        Male","3,717,803","±934","82.1%","±0.2","77.6%","±0.2","5.2%","±0.1","465,055","±50","76.0%","±0.8","68.8%","±0.8","9.4%","±0.6"
"        Female","3,748,943","±751","75.1%","±0.2","71.5%","±0.2","4.7%","±0.1","511,426","±58","72.5%","±0.6","67.4%","±0.7","6.9%","±0.4"
"            With own children under 18 years","1,252,997","±8,236","77.2%","±0.3","73.5%","±0.3","4.7%","±0.2","147,699","±2,961","76.7%","±1.2","70.7%","±1.2","7.8%","±0.7"
"                With own children under 6 years only","287,708","±4,575","75.2%","±0.7","71.0%","±0.7","5.5%","±0.4","37,751","±1,747","76.2%","±2.3","70.6%","±2.4","7.4%","±1.3"
"                With own children under 6 years and 6 to 17  years","239,802","±3,821","70.6%","±0.7","66.3%","±0.8","6.0%","±0.5","31,367","±1,410","78.0%","±2.3","70.4%","±2.7","9.7%","±1.9"
"                With own children 6 to 17 years only","725,487","±6,753","80.2%","±0.4","76.9%","±0.4","4.1%","±0.2","78,581","±2,287","76.3%","±1.7","70.8%","±1.7","7.1%","±0.9"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","",""
"        Below poverty level","818,860","±10,125","46.2%","±0.5","35.7%","±0.4","22.6%","±0.6","198,507","±5,366","42.2%","±1.2","30.6%","±1.2","27.6%","±1.7"
"        At or above the poverty level","6,473,068","±10,238","84.2%","±0.1","81.0%","±0.1","3.7%","±0.1","763,241","±5,582","83.3%","±0.5","78.6%","±0.6","5.6%","±0.3"
"    DISABILITY STATUS","","","","","","","","","","","","","","","",""
"        With any disability","834,477","±7,695","43.7%","±0.5","38.1%","±0.5","12.6%","±0.5","144,881","±3,848","37.8%","±1.3","30.7%","±1.2","18.6%","±1.6"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","6,654,894","±1,078","79.1%","±0.1","75.6%","±0.2","4.4%","±0.1","864,880","±90","75.2%","±0.5","69.6%","±0.6","7.4%","±0.4"
"        Less than high school graduate","505,693","±6,149","55.6%","±0.6","50.7%","±0.7","8.9%","±0.5","103,116","±2,865","50.8%","±1.5","44.5%","±1.7","12.5%","±1.7"
"        High school graduate (includes equivalency)","2,088,636","±12,041","73.1%","±0.2","68.8%","±0.3","5.8%","±0.2","264,307","±4,277","67.7%","±1.0","60.1%","±1.0","11.3%","±0.8"
"        Some college or associate's degree","1,729,747","±9,638","80.8%","±0.2","77.0%","±0.3","4.6%","±0.2","205,620","±4,641","77.6%","±1.0","71.8%","±1.0","7.4%","±0.8"
"        Bachelor's degree or higher","2,330,818","±14,898","88.4%","±0.1","86.0%","±0.2","2.6%","±0.1","291,837","±4,238","88.9%","±0.6","85.5%","±0.7","3.7%","±0.4"
