"Label (Grouping)","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"        Some college, no degree","180,951","±4,629","16.7%","±0.4","81,261","±2,684","16.3%","±0.5","99,690","±3,019","17.0%","±0.5"
"        Associate's degree","64,875","±2,304","6.0%","±0.2","25,374","±1,440","5.1%","±0.3","39,501","±1,930","6.8%","±0.3"
"        Bachelor's degree","194,201","±3,656","17.9%","±0.3","91,710","±2,304","18.4%","±0.5","102,491","±2,433","17.5%","±0.4"
"        Graduate or professional degree","143,829","±3,320","13.3%","±0.3","61,725","±2,273","12.4%","±0.5","82,104","±2,309","14.0%","±0.4"
"        High school graduate or higher","927,939","±3,948","85.7%","±0.4","425,571","±2,536","85.6%","±0.5","502,368","±2,657","85.9%","±0.5"
"        Bachelor's degree or higher","338,030","±4,497","31.2%","±0.4","153,435","±2,778","30.8%","±0.6","184,595","±3,077","31.6%","±0.5"
"    Population 25 to 34 years","302,302","±103","(X)","(X)","146,363","±97","(X)","(X)","155,939","±43","(X)","(X)"
"        High school graduate or higher","281,072","±1,527","93.0%","±0.5","134,596","±1,165","92.0%","±0.8","146,476","±832","93.9%","±0.5"
"        Bachelor's degree or higher","140,839","±2,685","46.6%","±0.9","65,433","±1,890","44.7%","±1.3","75,406","±2,016","48.4%","±1.3"
"    Population 35 to 44 years","198,540","±138","(X)","(X)","94,725","±110","(X)","(X)","103,815","±104","(X)","(X)"
"        High school graduate or higher","175,579","±1,625","88.4%","±0.8","83,429","±901","88.1%","±0.9","92,150","±1,277","88.8%","±1.2"
"        Bachelor's degree or higher","67,854","±2,311","34.2%","±1.2","29,666","±1,139","31.3%","±1.2","38,188","±1,715","36.8%","±1.7"
"    Population 45 to 64 years","364,038","±123","(X)","(X)","169,155","±29","(X)","(X)","194,883","±115","(X)","(X)"
"        High school graduate or higher","305,113","±2,331","83.8%","±0.6","140,351","±1,681","83.0%","±1.0","164,762","±1,437","84.5%","±0.7"
"        Bachelor's degree or higher","83,144","±2,410","22.8%","±0.7","36,788","±1,494","21.7%","±0.9","46,356","±1,626","23.8%","±0.8"
"    Population 65 years and over","217,403","±32","(X)","(X)","87,206","±18","(X)","(X)","130,197","±23","(X)","(X)"
"        High school graduate or higher","166,175","±2,398","76.4%","±1.1","67,195","±1,176","77.1%","±1.3","98,980","±1,773","76.0%","±1.4"
"        Bachelor's degree or higher","46,193","±1,553","21.2%","±0.7","21,548","±1,005","24.7%","±1.2","24,645","±1,136","18.9%","±0.9"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","469,019","±2,642","(X)","(X)","226,440","±1,558","(X)","(X)","242,579","±1,466","(X)","(X)"
"        High school graduate or higher","425,267","±2,705","90.7%","±0.4","204,074","±1,739","90.1%","±0.6","221,193","±1,498","91.2%","±0.5"
"        Bachelor's degree or higher","206,656","±3,342","44.1%","±0.7","98,268","±2,182","43.4%","±0.9","108,388","±1,967","44.7%","±0.8"
"    White alone, not Hispanic or Latino","422,732","±875","(X)","(X)","204,096","±486","(X)","(X)","218,636","±462","(X)","(X)"
"        High school graduate or higher","391,435","±1,593","92.6%","±0.4","188,298","±1,066","92.3%","±0.5","203,137","±998","92.9%","±0.4"
"        Bachelor's degree or higher","196,430","±3,109","46.5%","±0.7","93,980","±2,041","46.0%","±1.0","102,450","±1,851","46.9%","±0.8"
"    Black alone","427,549","±2,517","(X)","(X)","185,021","±1,229","(X)","(X)","242,528","±2,003","(X)","(X)"
"        High school graduate or higher","368,339","±3,097","86.2%","±0.5","158,989","±1,903","85.9%","±0.8","209,350","±2,252","86.3%","±0.6"
"        Bachelor's degree or higher","79,608","±2,785","18.6%","±0.6","31,118","±1,802","16.8%","±1.0","48,490","±1,965","20.0%","±0.8"
"    American Indian or Alaska Native alone","3,419","±399","(X)","(X)","1,523","±229","(X)","(X)","1,896","±305","(X)","(X)"
"        High school graduate or higher","2,592","±321","75.8%","±6.9","1,296","±199","85.1%","±5.3","1,296","±303","68.4%","±12.0"
"        Bachelor's degree or higher","688","±197","20.1%","±5.5","410","±157","26.9%","±9.4","278","±143","14.7%","±7.3"
"    Asian alone","81,045","±666","(X)","(X)","37,737","±412","(X)","(X)","43,308","±471","(X)","(X)"
"        High school graduate or higher","58,511","±1,521","72.2%","±1.7","28,257","±783","74.9%","±1.9","30,254","±1,002","69.9%","±2.1"
"        Bachelor's degree or higher","31,895","±1,382","39.4%","±1.6","15,448","±788","40.9%","±2.1","16,447","±795","38.0%","±1.7"
"    Native Hawaiian and Other Pacific Islander alone","460","±127","(X)","(X)","114","±71","(X)","(X)","346","±104","(X)","(X)"
"        High school graduate or higher","348","±110","75.7%","±13.6","92","±60","80.7%","±25.2","256","±84","74.0%","±15.1"
"        Bachelor's degree or higher","161","±107","35.0%","±19.5","48","±47","42.1%","±28.8","113","±79","32.7%","±21.0"
"    Some other race alone","67,248","±3,224","(X)","(X)","31,308","±1,603","(X)","(X)","35,940","±2,214","(X)","(X)"
"        High school graduate or higher","42,727","±2,751","63.5%","±3.1","19,659","±1,516","62.8%","±3.6","23,068","±1,912","64.2%","±4.1"
"        Bachelor's degree or higher","6,141","±755","9.1%","±1.2","3,027","±595","9.7%","±1.9","3,114","±522","8.7%","±1.5"
"    Two or more races","33,543","±2,807","(X)","(X)","15,306","±1,504","(X)","(X)","18,237","±1,767","(X)","(X)"
"        High school graduate or higher","30,155","±2,601","89.9%","±1.9","13,204","±1,347","86.3%","±3.3","16,951","±1,726","92.9%","±1.5"
"        Bachelor's degree or higher","12,881","±1,596","38.4%","±3.2","5,116","±855","33.4%","±4.3","7,765","±1,193","42.6%","±4.6"
"    Hispanic or Latino Origin","132,159","*****","(X)","(X)","63,689","*****","(X)","(X)","68,470","*****","(X)","(X)"
"        High school graduate or higher","92,884","±2,289","70.3%","±1.7","43,675","±1,616","68.6%","±2.5","49,209","±1,315","71.9%","±1.9"
"        Bachelor's degree or higher","22,842","±1,522","17.3%","±1.2","10,388","±1,063","16.3%","±1.7","12,454","±1,023","18.2%","±1.5"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","35.7%","±1.8","(X)","(X)","31.2%","±2.1","(X)","(X)","39.6%","±2.4"
"    High school graduate (includes equivalency)","(X)","(X)","23.8%","±0.8","(X)","(X)","20.9%","±1.1","(X)","(X)","26.5%","±1.1"
"    Some college or associate's degree","(X)","(X)","17.0%","±0.8","(X)","(X)","13.5%","±0.9","(X)","(X)","19.7%","±1.1"
"    Bachelor's degree or higher","(X)","(X)","8.2%","±0.6","(X)","(X)","7.9%","±0.7","(X)","(X)","8.5%","±0.8"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","38,898","±513","(X)","(X)","41,947","±610","(X)","(X)","36,303","±646","(X)","(X)"
"        Less than high school graduate","24,277","±1,159","(X)","(X)","27,136","±1,420","(X)","(X)","21,152","±751","(X)","(X)"
"        High school graduate (includes equivalency)","28,209","±693","(X)","(X)","31,387","±836","(X)","(X)","25,838","±536","(X)","(X)"
"        Some college or associate's degree","34,556","±803","(X)","(X)","38,525","±1,185","(X)","(X)","31,854","±763","(X)","(X)"
"        Bachelor's degree","52,020","±898","(X)","(X)","57,909","±2,525","(X)","(X)","48,046","±1,461","(X)","(X)"
"        Graduate or professional degree","66,531","±1,198","(X)","(X)","73,765","±2,575","(X)","(X)","63,084","±1,342","(X)","(X)"
