Label/Group,California Estimate,California Percent,Los Angeles City Estimate,Los Angeles City Percent
        Less than 20.0 percent,"1,725,492",34.4%,"106,061",28.7%
        20.0 to 24.9 percent,"774,695",15.5%,"50,529",13.7%
        25.0 to 29.9 percent,"602,748",12.0%,"42,133",11.4%
        30.0 to 34.9 percent,"439,413",8.8%,"33,055",9.0%
        35.0 percent or more,"1,466,791",29.3%,"137,340",37.2%
        Not computed,"26,511",(X),"2,885",(X)
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"2,174,082","2,174,082","144,124","144,124"
        Less than 10.0 percent,"1,021,914",47.0%,"57,130",39.6%
        10.0 to 14.9 percent,"377,070",17.3%,"24,808",17.2%
        15.0 to 19.9 percent,"215,626",9.9%,"16,316",11.3%
        20.0 to 24.9 percent,"135,217",6.2%,"10,472",7.3%
        25.0 to 29.9 percent,"93,167",4.3%,"7,212",5.0%
        30.0 to 34.9 percent,"64,680",3.0%,"5,106",3.5%
        35.0 percent or more,"266,408",12.3%,"23,080",16.0%
        Not computed,"31,586",(X),"2,219",(X)
    Occupied units paying rent,"5,678,016","5,678,016","865,877","865,877"
        Less than $500,"263,306",4.6%,"44,630",5.2%
        $500 to $999,"826,838",14.6%,"119,637",13.8%
"        $1,000 to $1,499","1,517,030",26.7%,"259,348",30.0%
"        $1,500 to $1,999","1,349,250",23.8%,"203,998",23.6%
"        $2,000 to $2,499","820,826",14.5%,"116,140",13.4%
"        $2,500 to $2,999","434,206",7.6%,"60,439",7.0%
"        $3,000 or more","466,560",8.2%,"61,685",7.1%
        Median (dollars),"1,586",(X),"1,523",(X)
        No rent paid,"183,780",(X),"18,299",(X)
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"5,572,918","5,572,918","845,894","845,894"
        Less than 15.0 percent,"592,617",10.6%,"78,538",9.3%
        15.0 to 19.9 percent,"637,465",11.4%,"83,592",9.9%
        20.0 to 24.9 percent,"681,447",12.2%,"91,801",10.9%
        25.0 to 29.9 percent,"642,154",11.5%,"94,762",11.2%
        30.0 to 34.9 percent,"527,570",9.5%,"80,271",9.5%
        35.0 percent or more,"2,491,665",44.7%,"416,930",49.3%
        Not computed,"288,878",(X),"38,282",(X)
