"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Below poverty level!!Estimate","Arizona!!Below poverty level!!Margin of Error","Arizona!!Percent below poverty level!!Estimate","Arizona!!Percent below poverty level!!Margin of Error","Phoenix city, Arizona!!Total!!Estimate","Phoenix city, Arizona!!Total!!Margin of Error","Phoenix city, Arizona!!Below poverty level!!Estimate","Phoenix city, Arizona!!Below poverty level!!Margin of Error","Phoenix city, Arizona!!Percent below poverty level!!Estimate","Phoenix city, Arizona!!Percent below poverty level!!Margin of Error"
"            High school graduate (includes equivalency)","1,125,568","±9,990","157,650","±3,693","14.0%","±0.3","247,703","±5,101","38,028","±1,785","15.4%","±0.6"
"            Some college, associate's degree","1,612,890","±9,237","164,826","±3,404","10.2%","±0.2","319,524","±4,089","36,562","±2,282","11.4%","±0.7"
"            Bachelor's degree or higher","1,462,813","±10,673","75,403","±2,974","5.2%","±0.2","314,056","±5,060","15,018","±1,159","4.8%","±0.4"
"    EMPLOYMENT STATUS","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","3,397,597","±8,538","277,206","±5,607","8.2%","±0.2","867,552","±4,666","75,034","±2,709","8.6%","±0.3"
"            Employed","3,201,348","±9,064","219,335","±4,863","6.9%","±0.2","821,211","±4,994","60,787","±2,560","7.4%","±0.3"
"                Male","1,706,853","±6,117","111,814","±3,511","6.6%","±0.2","443,942","±3,327","32,438","±2,063","7.3%","±0.5"
"                Female","1,494,495","±6,639","107,521","±2,832","7.2%","±0.2","377,269","±4,112","28,349","±1,411","7.5%","±0.4"
"            Unemployed","196,249","±4,380","57,871","±2,511","29.5%","±1.0","46,341","±2,217","14,247","±1,105","30.7%","±1.9"
"                Male","105,138","±2,978","28,748","±1,793","27.3%","±1.5","24,096","±1,591","6,689","±817","27.8%","±2.8"
"                Female","91,111","±2,757","29,123","±1,829","32.0%","±1.6","22,245","±1,428","7,558","±888","34.0%","±3.2"
"    WORK EXPERIENCE","","","","","","","","","","","",""
"        Population 16 years and over","5,587,616","±2,255","701,323","±9,151","12.6%","±0.2","1,267,160","±3,926","174,873","±4,748","13.8%","±0.4"
"            Worked full-time, year-round in the past 12 months","2,303,761","±9,484","69,530","±2,453","3.0%","±0.1","608,466","±4,849","23,334","±1,298","3.8%","±0.2"
"            Worked part-time or part-year in the past 12 months","1,221,619","±7,925","208,651","±4,842","17.1%","±0.4","277,607","±4,592","50,153","±2,416","18.1%","±0.8"
"            Did not work","2,062,236","±8,683","423,142","±6,224","20.5%","±0.3","381,087","±4,653","101,386","±3,264","26.6%","±0.8"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","",""
"        50 percent of poverty level","459,315","±9,194","(X)","(X)","(X)","(X)","114,555","±5,245","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,306,598","±15,206","(X)","(X)","(X)","(X)","344,006","±8,097","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","1,625,454","±17,889","(X)","(X)","(X)","(X)","422,953","±8,564","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","2,102,066","±18,764","(X)","(X)","(X)","(X)","551,823","±9,617","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","2,311,034","±19,465","(X)","(X)","(X)","(X)","606,089","±10,037","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","3,542,709","±19,846","(X)","(X)","(X)","(X)","905,324","±9,024","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","4,526,843","±17,339","(X)","(X)","(X)","(X)","1,119,010","±8,703","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","5,253,860","±17,015","(X)","(X)","(X)","(X)","1,267,453","±7,599","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","1,410,429","±11,954","330,605","±5,801","23.4%","±0.4","337,802","±6,301","76,147","±3,700","22.5%","±0.9"
"    Male","709,724","±6,777","155,727","±3,712","21.9%","±0.5","179,890","±4,188","37,302","±2,349","20.7%","±1.1"
"    Female","700,705","±7,374","174,878","±4,180","25.0%","±0.5","157,912","±3,804","38,845","±2,422","24.6%","±1.3"
"    15 years","2,086","±480","2,086","±480","100.0%","±1.9","824","±418","824","±418","100.0%","±4.7"
"    16 to 17 years","4,739","±624","4,478","±615","94.5%","±2.8","1,331","±382","1,246","±376","93.6%","±6.1"
"    18 to 24 years","169,326","±3,822","75,254","±2,409","44.4%","±1.1","36,412","±2,207","13,202","±1,091","36.3%","±2.5"
"    25 to 34 years","289,900","±5,186","54,389","±2,262","18.8%","±0.8","81,891","±2,759","14,290","±1,135","17.5%","±1.3"
"    35 to 44 years","164,892","±4,317","33,971","±1,981","20.6%","±1.0","53,088","±2,618","11,226","±1,667","21.1%","±2.5"
"    45 to 54 years","179,012","±3,988","39,504","±1,587","22.1%","±0.8","52,738","±2,093","10,924","±1,026","20.7%","±1.6"
"    55 to 64 years","220,479","±4,368","55,603","±2,155","25.2%","±0.8","50,380","±1,796","12,229","±891","24.3%","±1.6"
"    65 to 74 years","198,027","±3,880","33,605","±1,355","17.0%","±0.6","36,719","±1,736","7,172","±769","19.5%","±1.8"
"    75 years and over","181,968","±3,067","31,715","±1,448","17.4%","±0.8","24,419","±1,433","5,034","±524","20.6%","±2.0"
"    Mean income deficit for unrelated individuals (dollars)","7,694","±83","(X)","(X)","(X)","(X)","7,945","±186","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","604,007","±8,994","19,832","±1,362","3.3%","±0.2","174,774","±3,868","5,737","±816","3.3%","±0.4"
"    Worked less than full-time, year-round in the past 12 months","307,248","±5,260","108,929","±3,158","35.5%","±0.8","72,003","±2,992","23,962","±2,056","33.3%","±2.3"
"    Did not work","499,174","±5,272","201,844","±4,319","40.4%","±0.7","91,025","±3,285","46,448","±2,382","51.0%","±1.7"
