"Label (Grouping)","Phoenix city, Arizona!!Estimate","Phoenix city, Arizona!!Margin of Error","Phoenix city, Arizona!!Percent","Phoenix city, Arizona!!Percent Margin of Error"
"        15.0 to 19.9 percent","9,366","±1,547","8.1%","±1.3"
"        20.0 to 24.9 percent","5,633","±1,370","4.9%","±1.2"
"        25.0 to 29.9 percent","3,239","±960","2.8%","±0.8"
"        30.0 to 34.9 percent","3,230","±1,146","2.8%","±1.0"
"        35.0 percent or more","11,382","±1,889","9.9%","±1.5"
"        Not computed","1,759","±819","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","266,211","±8,634","266,211","(X)"
"        Less than $500","10,185","±2,424","3.8%","±0.9"
"        $500 to $999","24,188","±3,105","9.1%","±1.1"
"        $1,000 to $1,499","71,057","±5,044","26.7%","±1.7"
"        $1,500 to $1,999","89,269","±6,143","33.5%","±2.0"
"        $2,000 to $2,499","42,705","±4,126","16.0%","±1.5"
"        $2,500 to $2,999","19,494","±2,646","7.3%","±1.0"
"        $3,000 or more","9,313","±2,199","3.5%","±0.8"
"        Median (dollars)","1,655","±25","(X)","(X)"
"        No rent paid","6,124","±1,658","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","257,803","±8,341","257,803","(X)"
"        Less than 15.0 percent","26,923","±3,518","10.4%","±1.4"
"        15.0 to 19.9 percent","25,973","±3,448","10.1%","±1.3"
"        20.0 to 24.9 percent","32,923","±4,009","12.8%","±1.4"
"        25.0 to 29.9 percent","30,724","±4,142","11.9%","±1.5"
"        30.0 to 34.9 percent","25,037","±3,421","9.7%","±1.3"
"        35.0 percent or more","116,223","±5,504","45.1%","±1.9"
"        Not computed","14,532","±2,532","(X)","(X)"
