"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Percent!!Estimate","Arizona!!Percent!!Margin of Error","Arizona!!Male!!Estimate","Arizona!!Male!!Margin of Error","Arizona!!Percent Male!!Estimate","Arizona!!Percent Male!!Margin of Error","Arizona!!Female!!Estimate","Arizona!!Female!!Margin of Error","Arizona!!Percent Female!!Estimate","Arizona!!Percent Female!!Margin of Error","Phoenix city, Arizona!!Total!!Estimate","Phoenix city, Arizona!!Total!!Margin of Error","Phoenix city, Arizona!!Percent!!Estimate","Phoenix city, Arizona!!Percent!!Margin of Error","Phoenix city, Arizona!!Male!!Estimate","Phoenix city, Arizona!!Male!!Margin of Error","Phoenix city, Arizona!!Percent Male!!Estimate","Phoenix city, Arizona!!Percent Male!!Margin of Error","Phoenix city, Arizona!!Female!!Estimate","Phoenix city, Arizona!!Female!!Margin of Error","Phoenix city, Arizona!!Percent Female!!Estimate","Phoenix city, Arizona!!Percent Female!!Margin of Error"
"        High school graduate or higher","4,258,137","±6,249","87.9%","±0.1","2,069,847","±5,010","87.2%","±0.2","2,188,290","±4,278","88.5%","±0.2","887,356","±5,755","82.9%","±0.4","434,624","±3,807","82.4%","±0.6","452,732","±4,379","83.4%","±0.6"
"        Bachelor's degree or higher","1,468,698","±10,651","30.3%","±0.2","717,624","±6,521","30.2%","±0.3","751,074","±6,695","30.4%","±0.3","314,793","±5,071","29.4%","±0.5","151,194","±3,172","28.7%","±0.6","163,599","±3,387","30.1%","±0.6"
"    Population 25 to 34 years","986,787","±676","(X)","(X)","511,461","±494","(X)","(X)","475,326","±399","(X)","(X)","268,623","±4,072","(X)","(X)","135,370","±2,588","(X)","(X)","133,253","±2,764","(X)","(X)"
"        High school graduate or higher","880,432","±3,413","89.2%","±0.3","448,517","±2,372","87.7%","±0.4","431,915","±2,249","90.9%","±0.5","232,667","±4,387","86.6%","±0.9","116,298","±2,672","85.9%","±0.9","116,369","±2,804","87.3%","±1.4"
"        Bachelor's degree or higher","288,209","±4,362","29.2%","±0.4","133,050","±2,628","26.0%","±0.5","155,159","±2,993","32.6%","±0.6","78,496","±2,788","29.2%","±1.0","35,230","±1,658","26.0%","±1.1","43,266","±1,933","32.5%","±1.4"
"    Population 35 to 44 years","882,115","±623","(X)","(X)","446,345","±493","(X)","(X)","435,770","±329","(X)","(X)","229,855","±3,145","(X)","(X)","116,508","±2,091","(X)","(X)","113,347","±2,030","(X)","(X)"
"        High school graduate or higher","766,343","±3,046","86.9%","±0.3","382,857","±2,255","85.8%","±0.5","383,486","±1,974","88.0%","±0.4","185,181","±3,510","80.6%","±1.0","93,023","±2,133","79.8%","±1.5","92,158","±2,171","81.3%","±1.2"
"        Bachelor's degree or higher","287,406","±3,780","32.6%","±0.4","133,008","±2,701","29.8%","±0.6","154,398","±2,825","35.4%","±0.6","71,378","±2,630","31.1%","±1.0","33,367","±1,513","28.6%","±1.2","38,011","±1,842","33.5%","±1.5"
"    Population 45 to 64 years","1,714,950","±617","(X)","(X)","833,213","±468","(X)","(X)","881,737","±394","(X)","(X)","389,603","±3,978","(X)","(X)","193,712","±2,623","(X)","(X)","195,891","±2,355","(X)","(X)"
"        High school graduate or higher","1,496,452","±3,813","87.3%","±0.2","719,303","±2,846","86.3%","±0.3","777,149","±2,692","88.1%","±0.3","316,405","±4,026","81.2%","±0.5","155,694","±2,702","80.4%","±0.7","160,711","±2,447","82.0%","±0.8"
"        Bachelor's degree or higher","510,902","±6,376","29.8%","±0.4","244,637","±3,911","29.4%","±0.5","266,265","±4,209","30.2%","±0.5","113,042","±3,275","29.0%","±0.7","54,545","±1,965","28.2%","±1.0","58,497","±1,969","29.9%","±0.9"
"    Population 65 years and over","1,262,204","±323","(X)","(X)","581,355","±232","(X)","(X)","680,849","±213","(X)","(X)","182,002","±3,345","(X)","(X)","81,775","±1,787","(X)","(X)","100,227","±2,216","(X)","(X)"
"        High school graduate or higher","1,114,910","±3,043","88.3%","±0.2","519,170","±1,731","89.3%","±0.3","595,740","±2,195","87.5%","±0.3","153,103","±3,079","84.1%","±0.9","69,609","±1,817","85.1%","±1.2","83,494","±2,157","83.3%","±1.2"
"        Bachelor's degree or higher","382,181","±3,903","30.3%","±0.3","206,929","±2,918","35.6%","±0.5","175,252","±2,304","25.7%","±0.3","51,877","±1,690","28.5%","±0.8","28,052","±1,125","34.3%","±1.2","23,825","±1,152","23.8%","±1.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","3,741,117","±6,527","(X)","(X)","1,829,831","±3,929","(X)","(X)","1,911,286","±3,479","(X)","(X)","763,329","±6,662","(X)","(X)","376,849","±4,123","(X)","(X)","386,480","±3,798","(X)","(X)"
"        High school graduate or higher","3,376,980","±6,423","90.3%","±0.1","1,639,654","±4,305","89.6%","±0.2","1,737,326","±3,597","90.9%","±0.2","656,049","±5,611","85.9%","±0.3","321,653","±3,570","85.4%","±0.5","334,396","±3,321","86.5%","±0.4"
"        Bachelor's degree or higher","1,203,378","±9,354","32.2%","±0.3","592,196","±5,800","32.4%","±0.3","611,182","±5,750","32.0%","±0.3","243,704","±3,966","31.9%","±0.5","118,413","±2,553","31.4%","±0.6","125,291","±2,866","32.4%","±0.7"
"    White alone, not Hispanic or Latino","2,969,174","±2,280","(X)","(X)","1,449,050","±1,498","(X)","(X)","1,520,124","±1,137","(X)","(X)","533,913","±5,279","(X)","(X)","262,377","±3,096","(X)","(X)","271,536","±3,219","(X)","(X)"
"        High school graduate or higher","2,813,999","±4,028","94.8%","±0.1","1,366,500","±2,568","94.3%","±0.2","1,447,499","±2,238","95.2%","±0.1","505,662","±5,015","94.7%","±0.2","247,877","±2,918","94.5%","±0.4","257,785","±3,113","94.9%","±0.3"
"        Bachelor's degree or higher","1,086,435","±7,882","36.6%","±0.3","538,041","±4,894","37.1%","±0.3","548,394","±4,997","36.1%","±0.3","217,337","±3,707","40.7%","±0.6","106,256","±2,238","40.5%","±0.8","111,081","±2,558","40.9%","±0.8"
"    Black alone","201,669","±2,102","(X)","(X)","104,394","±1,249","(X)","(X)","97,275","±1,404","(X)","(X)","71,269","±2,417","(X)","(X)","35,202","±1,674","(X)","(X)","36,067","±1,467","(X)","(X)"
"        High school graduate or higher","182,119","±2,199","90.3%","±0.6","93,808","±1,332","89.9%","±0.8","88,311","±1,559","90.8%","±0.9","63,418","±2,345","89.0%","±1.2","31,540","±1,696","89.6%","±1.5","31,878","±1,492","88.4%","±1.8"
"        Bachelor's degree or higher","52,670","±2,009","26.1%","±0.9","25,354","±1,146","24.3%","±1.1","27,316","±1,541","28.1%","±1.5","17,172","±1,356","24.1%","±1.7","7,843","±894","22.3%","±2.4","9,329","±972","25.9%","±2.3"
"    American Indian or Alaska Native alone","185,547","±2,090","(X)","(X)","87,689","±1,325","(X)","(X)","97,858","±1,194","(X)","(X)","19,613","±1,310","(X)","(X)","8,787","±640","(X)","(X)","10,826","±926","(X)","(X)"
"        High school graduate or higher","144,910","±1,939","78.1%","±0.7","67,567","±1,287","77.1%","±1.0","77,343","±1,210","79.0%","±0.8","16,295","±1,093","83.1%","±2.0","7,279","±535","82.8%","±2.4","9,016","±826","83.3%","±2.8"
"        Bachelor's degree or higher","20,138","±1,214","10.9%","±0.7","7,921","±731","9.0%","±0.8","12,217","±834","12.5%","±0.8","3,316","±565","16.9%","±2.5","1,252","±260","14.2%","±2.8","2,064","±490","19.1%","±4.0"
"    Asian alone","167,590","±1,626","(X)","(X)","75,125","±1,185","(X)","(X)","92,465","±1,063","(X)","(X)","45,594","±1,721","(X)","(X)","21,178","±1,061","(X)","(X)","24,416","±1,056","(X)","(X)"
"        High school graduate or higher","147,769","±2,001","88.2%","±0.8","68,686","±1,188","91.4%","±0.9","79,083","±1,402","85.5%","±1.0","39,054","±1,594","85.7%","±1.6","18,922","±1,004","89.3%","±1.9","20,132","±1,053","82.5%","±2.1"
"        Bachelor's degree or higher","96,566","±2,060","57.6%","±1.1","47,322","±1,370","63.0%","±1.6","49,244","±1,180","53.3%","±1.2","26,702","±1,399","58.6%","±2.5","13,026","±869","61.5%","±3.2","13,676","±920","56.0%","±2.7"
"    Native Hawaiian and Other Pacific Islander alone","9,707","±416","(X)","(X)","5,282","±296","(X)","(X)","4,425","±358","(X)","(X)","2,098","±374","(X)","(X)","1,163","±219","(X)","(X)","935","±249","(X)","(X)"
"        High school graduate or higher","8,264","±490","85.1%","±3.3","4,522","±306","85.6%","±4.2","3,742","±404","84.6%","±4.6","1,783","±320","85.0%","±7.8","1,037","±215","89.2%","±7.5","746","±180","79.8%","±11.1"
"        Bachelor's degree or higher","2,089","±412","21.5%","±4.0","1,096","±275","20.7%","±4.9","993","±273","22.4%","±5.4","353","±142","16.8%","±7.0","246","±120","21.2%","±10.0","107","±81","11.4%","±8.4"
"    Some other race alone","292,685","±7,360","(X)","(X)","142,684","±3,935","(X)","(X)","150,001","±4,443","(X)","(X)","98,081","±4,824","(X)","(X)","47,015","±2,522","(X)","(X)","51,066","±3,321","(X)","(X)"
"        High school graduate or higher","191,804","±5,313","65.5%","±1.0","91,152","±3,055","63.9%","±1.4","100,652","±3,283","67.1%","±1.5","56,218","±3,023","57.3%","±2.4","26,018","±1,702","55.3%","±3.0","30,200","±1,911","59.1%","±3.2"
"        Bachelor's degree or higher","31,594","±2,324","10.8%","±0.7","14,230","±1,527","10.0%","±1.0","17,364","±1,489","11.6%","±1.0","7,582","±809","7.7%","±0.8","3,283","±550","7.0%","±1.1","4,299","±539","8.4%","±1.2"
"    Two or more races","247,741","±6,755","(X)","(X)","127,369","±3,653","(X)","(X)","120,372","±4,005","(X)","(X)","70,099","±3,992","(X)","(X)","37,171","±2,725","(X)","(X)","32,928","±2,328","(X)","(X)"
"        High school graduate or higher","206,291","±6,136","83.3%","±1.0","104,458","±3,565","82.0%","±1.4","101,833","±3,585","84.6%","±1.2","54,539","±3,816","77.8%","±2.3","28,175","±2,447","75.8%","±2.9","26,364","±2,208","80.1%","±2.9"
"        Bachelor's degree or higher","62,263","±2,823","25.1%","±1.2","29,505","±2,191","23.2%","±1.7","32,758","±1,786","27.2%","±1.6","15,964","±1,594","22.8%","±2.1","7,131","±1,191","19.2%","±3.0","8,833","±949","26.8%","±2.6"
"    Hispanic or Latino Origin","1,245,955","±178","(X)","(X)","618,270","±168","(X)","(X)","627,685","±61","(X)","(X)","380,748","±4,198","(X)","(X)","191,040","±2,714","(X)","(X)","189,708","±2,841","(X)","(X)"
"        High school graduate or higher","892,825","±4,994","71.7%","±0.4","434,915","±3,681","70.3%","±0.6","457,910","±3,632","73.0%","±0.6","244,439","±4,921","64.2%","±1.1","120,488","±3,118","63.1%","±1.3","123,951","±3,046","65.3%","±1.4"
"        Bachelor's degree or higher","178,318","±4,202","14.3%","±0.3","81,950","±2,628","13.3%","±0.4","96,368","±3,074","15.4%","±0.5","42,079","±2,211","11.1%","±0.6","19,125","±1,441","10.0%","±0.7","22,954","±1,500","12.1%","±0.8"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","24.5%","±0.6","(X)","(X)","21.3%","±0.9","(X)","(X)","27.8%","±0.7","(X)","(X)","25.0%","±1.2","(X)","(X)","21.1%","±1.6","(X)","(X)","28.9%","±1.6"
"    High school graduate (includes equivalency)","(X)","(X)","14.0%","±0.3","(X)","(X)","12.5%","±0.4","(X)","(X)","15.4%","±0.4","(X)","(X)","15.4%","±0.6","(X)","(X)","12.9%","±0.8","(X)","(X)","17.8%","±0.9"
"    Some college or associate's degree","(X)","(X)","10.2%","±0.2","(X)","(X)","8.9%","±0.3","(X)","(X)","11.4%","±0.3","(X)","(X)","11.4%","±0.7","(X)","(X)","10.3%","±0.8","(X)","(X)","12.5%","±0.8"
"    Bachelor's degree or higher","(X)","(X)","5.2%","±0.2","(X)","(X)","4.7%","±0.3","(X)","(X)","5.6%","±0.3","(X)","(X)","4.8%","±0.4","(X)","(X)","4.1%","±0.4","(X)","(X)","5.4%","±0.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,039","±176","(X)","(X)","44,637","±315","(X)","(X)","34,764","±257","(X)","(X)","39,304","±474","(X)","(X)","42,044","±408","(X)","(X)","35,667","±502","(X)","(X)"
"        Less than high school graduate","24,791","±393","(X)","(X)","27,487","±511","(X)","(X)","20,102","±459","(X)","(X)","25,387","±599","(X)","(X)","28,374","±1,236","(X)","(X)","21,065","±710","(X)","(X)"
"        High school graduate (includes equivalency)","31,185","±219","(X)","(X)","35,241","±453","(X)","(X)","26,358","±295","(X)","(X)","30,972","±484","(X)","(X)","33,852","±962","(X)","(X)","26,577","±727","(X)","(X)"
"        Some college or associate's degree","37,553","±308","(X)","(X)","43,655","±515","(X)","(X)","32,263","±285","(X)","(X)","38,053","±688","(X)","(X)","41,905","±618","(X)","(X)","34,179","±837","(X)","(X)"
"        Bachelor's degree","53,315","±405","(X)","(X)","65,284","±795","(X)","(X)","45,946","±574","(X)","(X)","55,343","±1,463","(X)","(X)","66,729","±1,488","(X)","(X)","48,798","±1,916","(X)","(X)"
"        Graduate or professional degree","68,813","±1,558","(X)","(X)","85,643","±1,479","(X)","(X)","56,876","±1,074","(X)","(X)","72,661","±2,505","(X)","(X)","90,492","±3,546","(X)","(X)","62,039","±1,687","(X)","(X)"
