Income Grouping,Illinois Households,Illinois Families,Illinois Married-couple Households,Illinois Nonfamily Households,Chicago Metro Households,Chicago Metro Families,Chicago Metro Married-couple Households,Chicago Metro Nonfamily Households,Age,Texas Total,Texas Labor Force Participation,Texas Employment/Population Ratio,Texas Unemployment Rate,Houston Metro Total,Houston Metro Labor Force Participation,Houston Metro Employment/Population Ratio,Houston Metro Unemployment Rate,Label/Group,California Total Estimate,California Labor Force Participation Rate,California Employment/Population Ratio,California Unemployment Rate,Los Angeles City Total Estimate,Los Angeles City Labor Force Participation Rate,Los Angeles City Employment/Population Ratio,Los Angeles City Unemployment Rate,"Philadelphia city, Pennsylvania!!Total!!Estimate",Philadelphia Labor Force Participation Rate,Philadelphia Employment/Population Ratio,Philadelphia Unemployment rate,"Phoenix city, Arizona!!Total!!Estimate",Phoenix Labor Force Participation Rate,Phoenix Employment/Population Ratio,Phoenix Unemployment rate
"    $200,000 or more",8.8%,11.9%,15.2%,3.0%,10.7%,14.1%,18.2%,3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,
Median income (dollars),"68,428","86,251","103,203","40,774","74,621","92,668","111,213","45,789",,,,,,,,,,,,,,,,,,,,,,,,,,
Mean income (dollars),"95,115","113,734","132,431","58,782","103,463","122,387","143,484","65,256",,,,,,,,,,,,,,,,,,,,,,,,,,
PERCENT ALLOCATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Household income in the past 12 months,36.3%,(X),(X),(X),36.7%,(X),(X),(X),,,,,,,,,,,,,,,,,,,,,,,,,,
    Family income in the past 12 months,(X),37.8%,(X),(X),(X),38.5%,(X),(X),,,,,,,,,,,,,,,,,,,,,,,,,,
    Nonfamily income in the past 12 months,(X),(X),(X),32.5%,(X),(X),(X),32.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Population 16 years and over,"22,078,090",64.8%,61.0%,5.3%,"5,328,736",66.6%,62.6%,5.9%,,,,,,,,,,,,,,,,,
,,,,,,,,,        16 to 19 years,"1,627,356",34.3%,28.1%,16.9%,"382,828",31.9%,25.8%,19.0%,,,,,,,,,,,,,,,,,
,,,,,,,,,        20 to 24 years,"2,000,883",73.4%,65.1%,9.5%,"454,655",73.2%,65.0%,11.1%,,,,,,,,,,,,,,,,,
,,,,,,,,,        25 to 29 years,"2,130,985",81.3%,75.7%,5.8%,"522,073",81.4%,76.4%,5.9%,,,,,,,,,,,,,,,,,
,,,,,,,,,        30 to 34 years,"2,079,503",81.4%,77.0%,4.7%,"526,366",81.9%,77.4%,5.3%,,,,,,,,,,,,,,,,,
,,,,,,,,,        35 to 44 years,"3,888,044",81.5%,77.8%,4.1%,"996,050",82.2%,78.3%,4.6%,,,,,,,,,,,,,,,,,
,,,,,,,,,        45 to 54 years,"3,542,967",80.1%,76.9%,3.9%,"890,422",80.9%,77.2%,4.4%,,,,,,,,,,,,,,,,,
,,,,,,,,,        55 to 59 years,"1,702,570",72.5%,69.7%,3.9%,"416,007",73.8%,70.5%,4.4%,,,,,,,,,,,,,,,,,
,,,,,,,,,        60 to 64 years,"1,512,413",58.5%,56.4%,3.6%,"363,361",60.8%,58.0%,4.6%,,,,,,,,,,,,,,,,,
,,,,,,,,,        65 to 74 years,"2,166,863",28.4%,27.4%,3.7%,"489,573",29.5%,28.0%,5.2%,,,,,,,,,,,,,,,,,
,,,,,,,,,        75 years and over,"1,426,506",7.8%,7.5%,3.4%,"287,401",8.7%,8.4%,3.5%,,,,,,,,,,,,,,,,,
,,,,,,,,,        White alone,"15,475,150",64.1%,60.7%,4.7%,"3,238,987",65.9%,62.5%,5.0%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Black or African American alone,"2,674,556",66.2%,60.2%,8.1%,"922,028",67.6%,61.2%,9.3%,,,,,,,,,,,,,,,,,
,,,,,,,,,        American Indian and Alaska Native alone,"109,115",65.5%,61.1%,6.0%,"23,403",69.6%,64.9%,6.6%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Asian alone,"1,121,803",66.7%,63.7%,4.1%,"439,962",65.5%,62.5%,4.5%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Native Hawaiian and Other Pacific Islander alone,"20,142",66.3%,61.0%,4.1%,"2,732",62.1%,57.7%,5.2%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Some other race alone,"1,341,535",67.1%,63.3%,5.5%,"387,514",68.7%,65.0%,5.5%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Two or more races,"1,335,789",66.7%,61.4%,7.2%,"314,110",69.2%,64.2%,7.2%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Hispanic or Latino origin (of any race),"8,063,662",66.5%,62.5%,5.6%,"1,849,761",68.8%,64.8%,5.8%,,,,,,,,,,,,,,,,,
,,,,,,,,,"        White alone, not Hispanic or Latino","9,821,536",62.8%,59.6%,4.3%,"2,031,730",64.2%,61.1%,4.7%,,,,,,,,,,,,,,,,,
,,,,,,,,,Population 20 to 64 years,"16,857,365",77.3%,73.0%,4.9%,"4,168,934",78.1%,73.7%,5.5%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Male,"8,438,171",83.8%,79.0%,4.8%,"2,076,077",86.4%,81.6%,5.3%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Female,"8,419,194",70.7%,66.9%,5.0%,"2,092,857",69.8%,65.9%,5.6%,,,,,,,,,,,,,,,,,
,,,,,,,,,            With own children under 18 years,"3,273,446",69.7%,66.0%,5.1%,"833,633",68.0%,64.0%,5.8%,,,,,,,,,,,,,,,,,
,,,,,,,,,                With own children under 6 years only,"708,921",66.9%,62.7%,5.9%,"183,382",65.0%,60.5%,6.7%,,,,,,,,,,,,,,,,,
,,,,,,,,,                With own children under 6 years and 6 to 17  years,"711,283",61.0%,57.0%,6.3%,"175,086",58.0%,53.6%,7.5%,,,,,,,,,,,,,,,,,
,,,,,,,,,                With own children 6 to 17 years only,"1,853,242",74.1%,70.8%,4.4%,"475,165",72.8%,69.1%,5.0%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Below poverty level,"2,005,411",50.8%,42.3%,16.7%,"467,692",51.6%,42.2%,18.3%,,,,,,,,,,,,,,,,,
,,,,,,,,,        At or above the poverty level,"14,502,045",82.4%,78.8%,3.9%,"3,652,957",82.4%,78.6%,4.4%,,,,,,,,,,,,,,,,,
,,,,,,,,,        With any disability,"1,586,858",46.7%,41.7%,10.3%,"324,994",47.8%,42.1%,11.8%,,,,,,,,,,,,,,,,,
,,,,,,,,,    Population 25 to 64 years,"14,856,482",77.8%,74.1%,4.3%,"3,714,279",78.7%,74.8%,4.8%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Less than high school graduate,"2,171,844",64.9%,61.2%,5.7%,"562,702",68.5%,64.6%,5.6%,,,,,,,,,,,,,,,,,
,,,,,,,,,        High school graduate (includes equivalency),"3,627,667",72.5%,68.4%,5.4%,"836,737",73.2%,68.7%,6.0%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Some college or associate's degree,"4,376,685",79.7%,75.5%,4.5%,"1,045,611",80.1%,75.7%,5.4%,,,,,,,,,,,,,,,,,
,,,,,,,,,        Bachelor's degree or higher,"4,680,286",86.0%,83.0%,2.9%,"1,269,229",85.7%,82.5%,3.5%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Population 16 years and over,"31,403,964",63.7%,59.4%,6.2%,"3,254,012",66.5%,61.9%,6.9%,,,,,,,,
,,,,,,,,,,,,,,,,,,        16 to 19 years,"2,044,185",30.1%,23.5%,20.4%,"194,073",25.7%,19.7%,23.2%,,,,,,,,
,,,,,,,,,,,,,,,,,,        20 to 24 years,"2,694,636",72.0%,62.6%,10.8%,"292,361",69.9%,61.9%,11.3%,,,,,,,,
,,,,,,,,,,,,,,,,,,        25 to 29 years,"3,084,036",82.3%,75.6%,6.9%,"372,648",84.2%,78.1%,7.2%,,,,,,,,
,,,,,,,,,,,,,,,,,,        30 to 34 years,"2,923,877",82.7%,77.4%,5.5%,"351,210",84.4%,79.2%,6.0%,,,,,,,,
,,,,,,,,,,,,,,,,,,        35 to 44 years,"5,233,903",81.9%,77.5%,4.9%,"571,032",82.8%,77.9%,5.8%,,,,,,,,
,,,,,,,,,,,,,,,,,,        45 to 54 years,"5,039,155",80.4%,76.4%,4.8%,"516,798",80.6%,76.0%,5.6%,,,,,,,,
,,,,,,,,,,,,,,,,,,        55 to 59 years,"2,485,487",72.6%,69.1%,4.8%,"237,072",73.3%,69.2%,5.7%,,,,,,,,
,,,,,,,,,,,,,,,,,,        60 to 64 years,"2,254,188",58.0%,55.3%,4.6%,"208,031",61.4%,58.1%,5.4%,,,,,,,,
,,,,,,,,,,,,,,,,,,        65 to 74 years,"3,270,380",27.5%,26.3%,4.5%,"290,863",31.5%,29.8%,5.5%,,,,,,,,
,,,,,,,,,,,,,,,,,,        75 years and over,"2,374,117",6.8%,6.4%,4.7%,"219,924",8.4%,7.8%,6.1%,,,,,,,,
,,,,,,,,,,,,,,,,,,        White alone,"18,015,475",62.7%,58.6%,5.8%,"1,621,275",67.2%,62.9%,6.4%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Black or African American alone,"1,833,771",60.6%,53.6%,10.1%,"295,653",59.8%,53.6%,10.2%,,,,,,,,
,,,,,,,,,,,,,,,,,,        American Indian and Alaska Native alone,"248,816",60.1%,54.1%,9.3%,"23,859",66.3%,60.8%,8.1%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Asian alone,"4,867,599",64.1%,60.9%,4.6%,"413,394",63.5%,60.1%,5.3%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Native Hawaiian and Other Pacific Islander alone,"122,120",66.7%,61.4%,7.0%,"5,547",65.3%,60.2%,7.8%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Some other race alone,"4,259,101",67.1%,62.4%,6.8%,"696,615",68.5%,63.8%,6.8%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Two or more races,"2,057,082",67.8%,61.7%,8.3%,"197,669",70.4%,64.1%,8.9%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Hispanic or Latino origin (of any race),"11,283,122",66.9%,62.0%,6.9%,"1,462,483",68.2%,63.6%,6.6%,,,,,,,,
,,,,,,,,,,,,,,,,,,"        White alone, not Hispanic or Latino","12,400,637",61.1%,57.2%,5.4%,"1,000,696",67.2%,62.6%,6.8%,,,,,,,,
,,,,,,,,,,,,,,,,,,Population 20 to 64 years,"23,715,282",77.3%,72.3%,5.8%,"2,549,152",78.7%,73.5%,6.5%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Male,"11,947,001",83.1%,77.4%,5.8%,"1,282,836",84.1%,78.6%,6.4%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Female,"11,768,281",71.5%,67.1%,5.9%,"1,266,316",73.2%,68.3%,6.7%,,,,,,,,
,,,,,,,,,,,,,,,,,,            With own children under 18 years,"4,019,715",69.8%,65.6%,5.8%,"359,126",68.6%,63.7%,7.0%,,,,,,,,
,,,,,,,,,,,,,,,,,,                With own children under 6 years only,"878,182",68.5%,64.1%,5.9%,"80,057",69.4%,64.6%,7.0%,,,,,,,,
,,,,,,,,,,,,,,,,,,                With own children under 6 years and 6 to 17  years,"811,186",62.2%,57.7%,7.0%,"71,065",60.7%,55.5%,8.4%,,,,,,,,
,,,,,,,,,,,,,,,,,,                With own children 6 to 17 years only,"2,330,347",72.9%,69.0%,5.3%,"208,004",71.0%,66.2%,6.6%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Below poverty level,"2,633,211",47.6%,37.2%,21.7%,"370,976",49.8%,39.8%,20.0%,,,,,,,,
,,,,,,,,,,,,,,,,,,        At or above the poverty level,"20,709,497",82.1%,77.9%,4.6%,"2,150,602",84.4%,80.0%,5.1%,,,,,,,,
,,,,,,,,,,,,,,,,,,        With any disability,"1,892,063",43.3%,37.6%,12.8%,"188,741",45.2%,39.0%,13.8%,,,,,,,,
,,,,,,,,,,,,,,,,,,    Population 25 to 64 years,"21,020,646",78.0%,73.6%,5.2%,"2,256,791",79.8%,75.0%,6.0%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Less than high school graduate,"3,199,850",65.3%,60.4%,7.4%,"461,016",68.8%,64.5%,6.3%,,,,,,,,
,,,,,,,,,,,,,,,,,,        High school graduate (includes equivalency),"4,282,776",73.1%,68.0%,6.5%,"424,322",74.6%,69.7%,6.6%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Some college or associate's degree,"6,090,254",78.3%,73.5%,5.5%,"542,528",80.5%,75.0%,6.7%,,,,,,,,
,,,,,,,,,,,,,,,,,,        Bachelor's degree or higher,"7,447,766",86.1%,82.5%,3.7%,"828,925",88.1%,83.5%,5.2%,,,,,,,,
Population 16 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,272,154",61.6%,56.1%,8.8%,,,,
        16 to 19 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,270",30.4%,21.3%,29.7%,,,,
        20 to 24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,601",66.0%,56.3%,14.7%,,,,
        25 to 29 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,858",83.4%,76.6%,8.1%,,,,
        30 to 34 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"142,444",84.9%,78.1%,7.9%,,,,
        35 to 44 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"198,540",80.8%,74.8%,7.4%,,,,
        45 to 54 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"180,573",72.9%,67.3%,7.6%,,,,
        55 to 59 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,065",64.3%,60.3%,6.3%,,,,
        60 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,400",49.2%,46.7%,5.1%,,,,
        65 to 74 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,965",23.0%,21.2%,7.7%,,,,
        75 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,438",6.9%,6.4%,7.7%,,,,
        White alone,,,,,,,,,,,,,,,,,,,,,,,,,,,"533,754",64.9%,61.0%,6.0%,,,,
        Black or African American alone,,,,,,,,,,,,,,,,,,,,,,,,,,,"510,166",59.0%,51.6%,12.5%,,,,
        American Indian and Alaska Native alone,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,052",51.8%,42.8%,17.3%,,,,
        Asian alone,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,221",60.9%,57.7%,5.3%,,,,
        Native Hawaiian and Other Pacific Islander alone,,,,,,,,,,,,,,,,,,,,,,,,,,,530,57.4%,57.4%,0.0%,,,,
        Some other race alone,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,516",54.3%,48.9%,9.9%,,,,
        Two or more races,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,915",66.9%,60.9%,8.9%,,,,
        Hispanic or Latino origin (of any race),,,,,,,,,,,,,,,,,,,,,,,,,,,"166,621",60.6%,54.3%,10.3%,,,,
"        White alone, not Hispanic or Latino",,,,,,,,,,,,,,,,,,,,,,,,,,,"475,618",65.2%,61.6%,5.5%,,,,
Population 20 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"976,481",74.2%,68.1%,8.2%,,,,
        Male,,,,,,,,,,,,,,,,,,,,,,,,,,,"465,055",76.0%,68.8%,9.4%,,,,
        Female,,,,,,,,,,,,,,,,,,,,,,,,,,,"511,426",72.5%,67.4%,6.9%,,,,
            With own children under 18 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,699",76.7%,70.7%,7.8%,,,,
                With own children under 6 years only,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,751",76.2%,70.6%,7.4%,,,,
                With own children under 6 years and 6 to 17  years,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,367",78.0%,70.4%,9.7%,,,,
                With own children 6 to 17 years only,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,581",76.3%,70.8%,7.1%,,,,
        Below poverty level,,,,,,,,,,,,,,,,,,,,,,,,,,,"198,507",42.2%,30.6%,27.6%,,,,
        At or above the poverty level,,,,,,,,,,,,,,,,,,,,,,,,,,,"763,241",83.3%,78.6%,5.6%,,,,
        With any disability,,,,,,,,,,,,,,,,,,,,,,,,,,,"144,881",37.8%,30.7%,18.6%,,,,
    Population 25 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,"864,880",75.2%,69.6%,7.4%,,,,
        Less than high school graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,116",50.8%,44.5%,12.5%,,,,
        High school graduate (includes equivalency),,,,,,,,,,,,,,,,,,,,,,,,,,,"264,307",67.7%,60.1%,11.3%,,,,
        Some college or associate's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,"205,620",77.6%,71.8%,7.4%,,,,
        Bachelor's degree or higher,,,,,,,,,,,,,,,,,,,,,,,,,,,"291,837",88.9%,85.5%,3.7%,,,,
Population 16 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,280,078",68.0%,64.3%,5.4%
        16 to 19 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,424",38.9%,31.6%,18.3%
        20 to 24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,571",80.7%,74.1%,8.2%
        25 to 29 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,466",83.3%,78.6%,5.6%
        30 to 34 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,157",83.3%,78.5%,5.5%
        35 to 44 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229,855",81.7%,78.3%,4.1%
        45 to 54 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"209,148",81.3%,77.9%,4.0%
        55 to 59 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,681",73.4%,70.5%,3.9%
        60 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,774",58.0%,56.2%,3.2%
        65 to 74 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,070",29.3%,28.6%,2.6%
        75 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,932",7.8%,7.4%,4.7%
        White alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"896,740",67.5%,64.3%,4.7%
        Black or African American alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,149",69.8%,63.4%,8.8%
        American Indian and Alaska Native alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,892",69.5%,61.2%,11.9%
        Asian alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,842",66.9%,64.4%,3.6%
        Native Hawaiian and Other Pacific Islander alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,398",73.9%,67.6%,6.4%
        Some other race alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,966",67.0%,63.2%,5.5%
        Two or more races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,091",72.0%,66.9%,7.0%
        Hispanic or Latino origin (of any race),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"497,273",68.8%,64.9%,5.6%
"        White alone, not Hispanic or Latino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"596,521",66.9%,63.9%,4.4%
Population 20 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,005,652",79.2%,75.2%,4.9%
        Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"506,201",85.1%,81.0%,4.8%
        Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"499,451",73.1%,69.3%,5.1%
            With own children under 18 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"182,107",70.2%,66.4%,5.3%
                With own children under 6 years only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,249",70.3%,66.0%,6.1%
                With own children under 6 years and 6 to 17  years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,618",64.1%,59.0%,7.6%
                With own children 6 to 17 years only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,240",72.8%,69.7%,4.1%
        Below poverty level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,881",50.4%,41.1%,18.5%
        At or above the poverty level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"861,732",84.3%,81.2%,3.6%
        With any disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,228",48.1%,41.9%,12.8%
    Population 25 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"888,081",78.9%,75.4%,4.4%
        Less than high school graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153,828",65.9%,62.1%,5.9%
        High school graduate (includes equivalency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206,449",74.6%,69.8%,6.5%
        Some college or associate's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264,888",81.4%,77.6%,4.4%
        Bachelor's degree or higher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"262,916",87.5%,85.2%,2.5%
