Unnamed: 0,Household,Families,Married-couple Households,Nonfamily Households,Age Group,Total,Labor Force Participation,Employment Population Ratio,Unemployment Rate
,,,,,        Female,"1,411,556",70.0%,65.8%,6.0%
,,,,,            With own children under 18 years,"547,996",66.8%,62.4%,6.6%
,,,,,                With own children under 6 years only,"123,410",64.2%,59.2%,7.8%
,,,,,                With own children under 6 years and 6 to 17  years,"116,727",56.0%,51.3%,8.4%
,,,,,                With own children 6 to 17 years only,"307,859",72.0%,67.9%,5.6%
,,,,,        Below poverty level,"361,464",52.1%,42.3%,18.8%
,,,,,        At or above the poverty level,"2,438,366",82.8%,79.0%,4.5%
,,,,,        With any disability,"223,309",48.4%,42.9%,11.3%
,,,,,    Population 25 to 64 years,"2,504,518",79.0%,74.9%,5.1%
,,,,,        Less than high school graduate,"441,459",69.8%,65.9%,5.6%
,,,,,        High school graduate (includes equivalency),"569,757",74.2%,69.7%,6.1%
,,,,,        Some college or associate's degree,"679,323",80.7%,75.8%,6.0%
,,,,,        Bachelor's degree or higher,"813,979",86.0%,82.8%,3.6%
,,,,,Population 16 years and over,"1,418,173",66.9%,63.1%,5.7%
,,,,,        16 to 19 years,"56,678",21.7%,14.3%,34.0%
,,,,,        20 to 24 years,"111,192",64.4%,57.8%,10.2%
,,,,,        25 to 29 years,"188,117",86.4%,82.5%,4.5%
,,,,,        30 to 34 years,"174,318",88.6%,84.8%,4.2%
,,,,,        35 to 44 years,"233,553",85.4%,81.3%,4.7%
,,,,,        45 to 54 years,"199,243",80.6%,76.2%,5.4%
,,,,,        55 to 59 years,"95,799",71.7%,67.7%,5.6%
,,,,,        60 to 64 years,"88,523",60.2%,56.1%,6.8%
,,,,,        65 to 74 years,"147,216",34.5%,32.8%,4.9%
,,,,,        75 years and over,"123,534",12.3%,11.8%,4.1%
,,,,,        White alone,"802,987",71.6%,68.7%,4.1%
,,,,,        Black or African American alone,"196,689",56.5%,50.9%,9.9%
,,,,,        American Indian and Alaska Native alone,"5,663",57.2%,45.8%,20.0%
,,,,,        Asian alone,"180,523",65.6%,62.6%,4.4%
,,,,,        Native Hawaiian and Other Pacific Islander alone,738,74.3%,74.3%,0.0%
,,,,,        Some other race alone,"156,387",57.2%,51.2%,10.5%
,,,,,        Two or more races,"75,186",67.5%,61.6%,8.5%
,,,,,        Hispanic or Latino origin (of any race),"346,506",59.6%,54.3%,9.0%
,,,,,"        White alone, not Hispanic or Latino","687,786",73.5%,70.7%,3.8%
,,,,,Population 20 to 64 years,"1,090,745",79.8%,75.5%,5.4%
,,,,,        Male,"528,198",82.8%,78.0%,5.7%
,,,,,        Female,"562,547",77.0%,73.1%,5.1%
,,,,,            With own children under 18 years,"127,683",73.1%,69.3%,5.2%
,,,,,                With own children under 6 years only,"36,933",76.3%,73.3%,3.9%
,,,,,                With own children under 6 years and 6 to 17  years,"21,064",67.4%,64.0%,5.0%
,,,,,                With own children 6 to 17 years only,"69,686",73.1%,68.8%,6.0%
,,,,,        Below poverty level,"147,020",38.2%,28.4%,25.8%
,,,,,        At or above the poverty level,"922,707",87.5%,84.0%,3.9%
,,,,,        With any disability,"73,004",39.1%,34.0%,13.1%
,,,,,    Population 25 to 64 years,"979,553",81.6%,77.5%,5.0%
,,,,,        Less than high school graduate,"89,903",58.0%,51.1%,11.8%
,,,,,        High school graduate (includes equivalency),"110,270",65.5%,60.1%,8.2%
,,,,,        Some college or associate's degree,"130,281",74.9%,68.6%,8.3%
,,,,,        Bachelor's degree or higher,"649,099",88.9%,85.9%,3.4%
,,,,,Population 16 years and over,"3,254,012",66.5%,61.9%,6.9%
,,,,,        16 to 19 years,"194,073",25.7%,19.7%,23.2%
,,,,,        20 to 24 years,"292,361",69.9%,61.9%,11.3%
,,,,,        25 to 29 years,"372,648",84.2%,78.1%,7.2%
,,,,,        30 to 34 years,"351,210",84.4%,79.2%,6.0%
,,,,,        35 to 44 years,"571,032",82.8%,77.9%,5.8%
,,,,,        45 to 54 years,"516,798",80.6%,76.0%,5.6%
,,,,,        55 to 59 years,"237,072",73.3%,69.2%,5.7%
,,,,,        60 to 64 years,"208,031",61.4%,58.1%,5.4%
,,,,,        65 to 74 years,"290,863",31.5%,29.8%,5.5%
,,,,,        75 years and over,"219,924",8.4%,7.8%,6.1%
,,,,,        White alone,"1,621,275",67.2%,62.9%,6.4%
,,,,,Population 16 years and over,"3,482,330",64.6%,61.1%,5.1%
,,,,,        16 to 19 years,"236,881",41.1%,33.4%,18.4%
,,,,,        20 to 24 years,"293,079",80.1%,73.1%,8.1%
,,,,,        25 to 29 years,"334,251",83.7%,78.7%,5.6%
,,,,,        30 to 34 years,"311,442",83.0%,78.7%,4.9%
,,,,,        35 to 44 years,"574,796",82.3%,79.0%,3.7%
,,,,,        45 to 54 years,"552,339",81.9%,78.9%,3.5%
,,,,,        55 to 59 years,"265,441",73.4%,70.7%,3.7%
,,,,,        60 to 64 years,"243,005",58.0%,56.2%,3.1%
,,,,,        65 to 74 years,"389,119",25.6%,24.7%,3.5%
,,,,,        75 years and over,"281,977",6.3%,6.0%,4.3%
,,,,,        White alone,"2,634,586",63.2%,60.1%,4.6%
,,,,,        Black or African American alone,"187,743",70.2%,64.2%,8.1%
,,,,,        American Indian and Alaska Native alone,"64,401",65.8%,58.3%,11.2%
,,,,,        Asian alone,"152,751",66.2%,63.7%,3.5%
,,,,,        Native Hawaiian and Other Pacific Islander alone,"7,478",72.0%,67.7%,4.6%
,,,,,        Some other race alone,"235,466",67.2%,63.5%,5.3%
,,,,,        Two or more races,"199,905",72.2%,67.0%,6.9%
,,,,,        Hispanic or Latino origin (of any race),"963,971",69.1%,65.2%,5.4%
,,,,,"        White alone, not Hispanic or Latino","2,044,735",61.5%,58.6%,4.4%
,,,,,Population 20 to 64 years,"2,574,353",79.0%,75.2%,4.5%
,,,,,        Male,"1,283,260",85.3%,81.2%,4.5%
,,,,,        Female,"1,291,093",72.8%,69.3%,4.6%
,,,,,            With own children under 18 years,"459,144",70.7%,67.2%,4.9%
,,,,,                With own children under 6 years only,"98,770",70.0%,65.8%,5.8%
,,,,,                With own children under 6 years and 6 to 17  years,"97,932",61.7%,57.7%,6.4%
,,,,,                With own children 6 to 17 years only,"262,442",74.4%,71.3%,4.1%
,,,,,        Below poverty level,"289,104",49.2%,40.1%,18.5%
,,,,,        At or above the poverty level,"2,261,530",83.5%,80.4%,3.5%
,,,,,        With any disability,"239,705",47.8%,42.4%,11.1%
,,,,,    Population 25 to 64 years,"2,281,274",78.9%,75.5%,4.1%
,,,,,        Less than high school graduate,"273,313",64.7%,60.9%,5.9%
,,,,,        High school graduate (includes equivalency),"493,395",74.2%,69.8%,5.9%
,,,,,        Some college or associate's degree,"746,833",80.3%,76.7%,4.0%
,,,,,        Bachelor's degree or higher,"767,733",85.6%,83.1%,2.7%
