Age by Educational Attainment,Total,Male,Female
        High school graduate or higher,"859,852","415,443","444,409"
        Bachelor's degree or higher,"326,246","161,009","165,237"
    Population 65 years and over,"491,390","217,596","273,794"
        High school graduate or higher,"388,738","174,299","214,439"
        Bachelor's degree or higher,"152,613","81,064","71,549"
    Population 18 to 24 years,"145,611","65,104","80,507"
        Less than high school graduate,"11,172","6,392","4,780"
        High school graduate (includes equivalency),"27,293","13,162","14,131"
        Some college or associate's degree,"57,718","24,366","33,352"
        Bachelor's degree or higher,"49,428","21,184","28,244"
    Population 25 years and over,"1,250,303","588,768","661,535"
        Less than 9th grade,"82,228","34,845","47,383"
"        9th to 12th grade, no diploma","69,786","35,763","34,023"
        High school graduate (includes equivalency),"152,846","74,571","78,275"
"        Some college, no degree","121,216","56,815","64,401"
        Associate's degree,"46,744","19,513","27,231"
        Bachelor's degree,"396,161","186,180","209,981"
        Graduate or professional degree,"381,322","181,081","200,241"
        High school graduate or higher,"1,098,289","518,160","580,129"
        Bachelor's degree or higher,"777,483","367,261","410,222"
    Population 25 to 34 years,"362,435","174,662","187,773"
        High school graduate or higher,"345,485","164,583","180,902"
        Bachelor's degree or higher,"277,944","127,525","150,419"
    Population 35 to 44 years,"233,553","116,087","117,466"
        High school graduate or higher,"214,738","105,929","108,809"
        Bachelor's degree or higher,"159,305","77,012","82,293"
    Population 45 to 64 years,"383,565","187,229","196,336"
        High school graduate or higher,"329,427","160,440","168,987"
        Bachelor's degree or higher,"211,850","103,870","107,980"
    Population 65 years and over,"270,750","110,790","159,960"
        High school graduate or higher,"208,639","87,208","121,431"
        Bachelor's degree or higher,"128,384","58,854","69,530"
    Population 18 to 24 years,"396,251","197,761","198,490"
        Less than high school graduate,"46,731","27,942","18,789"
        High school graduate (includes equivalency),"101,555","56,242","45,313"
        Some college or associate's degree,"191,754","90,716","101,038"
        Bachelor's degree or higher,"56,211","22,861","33,350"
    Population 25 years and over,"2,767,578","1,355,685","1,411,893"
        Less than 9th grade,"362,826","169,768","193,058"
"        9th to 12th grade, no diploma","239,034","122,312","116,722"
        High school graduate (includes equivalency),"520,611","263,568","257,043"
"        Some college, no degree","483,942","240,148","243,794"
        Associate's degree,"175,021","79,683","95,338"
        Bachelor's degree,"644,695","314,426","330,269"
        Graduate or professional degree,"341,449","165,780","175,669"
        High school graduate or higher,"2,165,718","1,063,605","1,102,113"
        Bachelor's degree or higher,"986,144","480,206","505,938"
    Population 25 to 34 years,"723,858","370,444","353,414"
        High school graduate or higher,"644,364","324,624","319,740"
        Bachelor's degree or higher,"313,884","147,474","166,410"
    Population 35 to 44 years,"571,032","291,688","279,344"
        High school graduate or higher,"448,321","228,600","219,721"
        Bachelor's degree or higher,"220,639","108,759","111,880"
    Population 45 to 64 years,"961,901","474,852","487,049"
        High school graduate or higher,"703,090","345,551","357,539"
        Bachelor's degree or higher,"294,402","143,838","150,564"
    Population 65 years and over,"510,787","218,701","292,086"
        High school graduate or higher,"369,943","164,830","205,113"
        Bachelor's degree or higher,"157,219","80,135","77,084"
    Population 18 to 24 years,"409,391","209,981","199,410"
        Less than high school graduate,"56,172","31,902","24,270"
        High school graduate (includes equivalency),"141,276","76,600","64,676"
        Some college or associate's degree,"167,314","82,048","85,266"
        Bachelor's degree or higher,"44,629","19,431","25,198"
    Population 25 years and over,"2,952,370","1,435,698","1,516,672"
        Less than 9th grade,"155,179","78,952","76,227"
"        9th to 12th grade, no diploma","187,725","93,569","94,156"
        High school graduate (includes equivalency),"659,883","322,794","337,089"
"        Some college, no degree","705,816","334,965","370,851"
        Associate's degree,"257,177","120,078","137,099"
        Bachelor's degree,"621,592","302,291","319,301"
        Graduate or professional degree,"364,998","183,049","181,949"
        High school graduate or higher,"2,609,466","1,263,177","1,346,289"
        Bachelor's degree or higher,"986,590","485,340","501,250"
    Population 25 to 34 years,"645,693","328,786","316,907"
        High school graduate or higher,"580,981","293,001","287,980"
        Bachelor's degree or higher,"211,730","98,238","113,492"
    Population 35 to 44 years,"574,796","287,449","287,347"
        High school graduate or higher,"497,702","246,621","251,081"
        Bachelor's degree or higher,"206,660","96,947","109,713"
    Population 45 to 64 years,"1,060,785","516,978","543,807"
        High school graduate or higher,"929,278","448,948","480,330"
        Bachelor's degree or higher,"349,343","169,935","179,408"
    Population 65 years and over,"671,096","302,485","368,611"
        High school graduate or higher,"601,505","274,607","326,898"
        Bachelor's degree or higher,"218,857","120,220","98,637"
